קטגוריה,מחלקה,בסיס מדידה,שורות,מכר כספי (מיליוני ₪),כיסוי %
תכשירי הגנה מהשמש למבוגרים,מוצרי שיזוף והגנה מהשמש,ליטר,1786,165.89,100.0
אטריות,אורז קטניות פסטה תבשילים ותערובות,"ק""ג",2023,164.78,100.0
נקטר,משקאות לא אלכוהולים,ליטר,2101,160.4,100.0
משקה מוגז עדין בטעמים,משקאות לא אלכוהולים,ליטר,687,158.88,100.0
יינות מתוקים,יינות שולחניים,ליטר,1584,158.41,100.0
יין רוזה,יינות שולחניים,ליטר,1408,150.19,100.0
שמפו/מרכך לילדים,טיפוח השיער,ליטר,3268,149.47,99.56
תה שחור בטעמים,תה,"ק""ג",3539,144.3,100.0
סכיני גילוח חד פעמי,מוצרי גילוח,יח' באריזה,3347,144.17,100.0
שמיר,עלים ותבלינים טריים,"ק""ג",2404,144.07,100.0
שימורי זיתים שחורים,שימורים,"ק""ג",2313,143.05,100.0
סבון מוצק,סבוני רחצה,"ק""ג",2038,142.76,100.0
נקניקיות מן הצומח,מזון מוכן קפוא מן הצומח,"ק""ג",641,140.54,100.0
תכשירים לניקוי חלונות,ניקוי הבית,ליטר,1817,138.3,98.3
תה שחור טהור,תה,"ק""ג",1963,137.02,100.0
שימורי ירקות כבושים,שימורים,"ק""ג",3288,136.88,100.0
נענע,עלים ותבלינים טריים,יח' באריזה,1743,130.5,100.0
סוכריות מרשמלו,סוכריות,"ק""ג",1777,126.44,100.0
סוכריות מרעננות,סוכריות,"ק""ג",1383,125.57,96.57
נתחים אחורי מופשר,קצביה בשרית מופשר,"ק""ג",450,122.07,100.0
גבינות שמנת במשקל,מעדניה חלבית,"ק""ג",1062,116.28,100.0
תחליפי חלב אם צמחי,מזון תינוקות/ילדים,"ק""ג",252,114.68,100.0
ממרחים שאינם מתוקים,רטבים וממרחים,"ק""ג",3100,113.66,100.0
לקקנים,סוכריות,"ק""ג",3814,112.12,99.46
בזיליקום,עלים ותבלינים טריים,"ק""ג",1949,111.21,100.0
כבש קפוא,בשר ועוף קפוא,"ק""ג",519,109.52,100.0
חלקי פנים עוף טרי,קצביה עוף טרי,"ק""ג",1353,106.29,100.0
בשר טחון מופשר,קצביה בשרית מופשר,"ק""ג",363,105.69,100.0
דגים טריים ארוזים,קצביה דגים טריים,"ק""ג",841,104.66,100.0
סלטי דגים,סלטים ארוזים,"ק""ג",1402,101.4,100.0
הודו קפוא,בשר ועוף קפוא,"ק""ג",917,97.72,100.0
תכשירים לגילוח,מוצרי גילוח,ליטר,1699,95.01,97.7
גבינות רכות מעדניה,מעדניה חלבית,"ק""ג",1199,93.44,100.0
ניקוי אמבטיות,ניקוי הבית,יח' באריזה,1557,87.92,100.0
תכשיר הגנה מהשמש לפנים,מוצרי שיזוף והגנה מהשמש,ליטר,1314,86.99,100.0
מיץ 100% פרי,משקאות לא אלכוהולים,ליטר,2084,84.78,100.0
דייסות,מזון תינוקות/ילדים,"ק""ג",1035,84.42,100.0
קרם פנים,טיפוח פנים,ליטר,1480,83.55,100.0
סלק עלים,עלים ותבלינים טריים,"ק""ג",1154,78.47,100.0
תכשירי הגנה מהשמש לילדים,מוצרי שיזוף והגנה מהשמש,ליטר,848,77.97,100.0
משקאות ברנדי/קוניאק,משקאות חריפים,ליטר,939,76.04,100.0
מוצרים לטיפול בשיער,טיפוח השיער,ליטר,897,64.27,100.0
משקאות חמוציות,משקאות לא אלכוהולים,ליטר,420,63.42,100.0
סוכריות אחרות,סוכריות,"ק""ג",2166,60.74,100.0
תרד,עלים ותבלינים טריים,"ק""ג",1392,55.03,100.0
תכשירים לפתיחת סתימות,ניקוי הבית,ליטר,306,50.38,100.0
תכשירי ניקוי שטיחים,ניקוי הבית,ליטר,438,40.87,100.0
