month,CR3 ללא מאגדים,CR3 עם מאגדים,HHI,CR3 ללא מאגדים_se,CR3 עם מאגדים_se,HHI_se
2022-02,-0.31145103649409256,0.09458670830402614,0.08310975751605724,0.24961027613178685,0.21997923978935374,0.18466381872419185
2022-03,-0.7299214401722736,0.24015753396560022,0.2646317210912837,0.4276216946067042,0.4174575378059354,0.31853455253392393
2022-04,-1.2816944999515187,-0.8456706903570986,-0.009446439333977949,0.7354720050084234,0.7604834443080515,0.5471555801163902
2022-05,-1.8876114293678783,-0.7731334686075106,-0.2263860197144508,0.5379076867720737,0.45152538177636026,0.3837547339186276
2022-06,-1.4423711638064123,-0.7069401007083321,-0.2740275958525887,0.5097218217175818,0.49756685077058616,0.39967374575392245
2022-07,-1.3202859384345924,-0.6612388672030165,-0.1082036797600659,0.5204752953106099,0.5244422054877341,0.4225999501152186
2022-08,-1.323327420771676,-0.6399920321684088,-0.35562130884414755,0.5287484158454083,0.5276548552728845,0.41537355955437066
2022-09,-0.9157735882095576,-0.11537967141426943,0.12978772653715884,0.6159738163732017,0.6017351604818946,0.48135227659168656
2022-10,-1.3343678770162604,-0.5176760028350472,-0.09032390059203088,0.5797984605329773,0.585080469233521,0.4794622234725481
2022-11,0.22389447450364613,-0.31276597964472325,0.12687819999905967,0.6094349537871903,0.5738427251751262,0.4270905944570828
2022-12,0.7509753510361585,0.2727158193704462,0.36760420466883204,0.7655121289075879,0.7299866999071689,0.5209874576892551
2023-01,0.5394238058347706,0.444944200662654,0.4944280967468265,0.7283915979219474,0.6620133730319289,0.49646191785017774
2023-02,0.4230250682670197,0.7584089957472244,0.6668063713585634,0.7608878520558554,0.7101939715909155,0.5346173223701229
2023-03,-0.8415809237807161,-0.08059114124404261,0.28573098277255915,0.8480788802849484,0.8473579740616293,0.6220603918592105
2023-04,-2.5912362015943993,-1.1820304724711868,-0.5559856259988757,0.8356354087515642,0.8519511328839133,0.7676861226367243
2023-05,-1.730941395412497,-1.049569165823466,-0.5788914072646781,0.8209753065506248,0.7551194519636502,0.6730869023184397
2023-06,-0.869793282603302,-0.30134443113880927,-0.0788838475187297,0.8202770035584747,0.7723824217066756,0.6412896129059218
2023-07,-1.0361080463692998,-0.3651065110215459,-0.007823158221544734,0.814344196357878,0.7884723580067886,0.647543056679199
2023-08,-0.8775473291278026,-0.5261545946166055,-0.1791992822375055,0.8256465308375939,0.7974604861385773,0.6489701507385018
2023-09,-1.2478412232392595,-0.6747813399402208,-0.300699850130256,0.8869596319065414,0.8013573946018062,0.71390511007577
2023-10,-1.5573299592039025,-0.9356386601581973,-0.7977375112251204,0.9048986897710314,0.8380167523541112,0.7424035421375107
