sample,weighted,control,phase,term,measure,coef_pct,F,p
פאנל מלא,False,True,ייסוף 11/23-7/26,ענקיות,CR3 עם מאגדים,1.4067441301722794,2.2033604584349926,0.00031312039265952725
פאנל מלא,False,True,ייסוף 11/23-7/26,ענקיות,HHI,1.1472630288064656,2.193295950197402,0.0003386141878885221
פאנל מלא,False,True,ייסוף 11/23-7/26,ייבוא,CR3 ללא מאגדים,0.7113224622674246,3.0337373301973005,3.4045838401545727e-07
פאנל מלא,False,True,ייסוף 11/23-7/26,ייבוא,CR3 עם מאגדים,0.6411953308413466,2.9967559487380395,4.661069058285411e-07
פאנל מלא,False,True,ייסוף 11/23-7/26,ייבוא,HHI,0.6804201111953667,3.0170516119166373,3.92325934180833e-07
פאנל מלא,True,False,כל התקופה,ריכוזיות,CR3 ללא מאגדים,-1.083853485904094,8.908361571195831,2.934622068369055e-36
פאנל מלא,True,False,כל התקופה,ריכוזיות,CR3 עם מאגדים,-0.579683562271765,5.606264610412389,2.68205054046701e-22
פאנל מלא,True,False,כל התקופה,ריכוזיות,HHI,-0.34188624893388797,5.35930139380677,3.858416591632139e-21
פאנל מלא,True,False,כל התקופה,ענקיות,CR3 ללא מאגדים,1.0958673891199453,2.427998853301542,1.539399804327653e-06
פאנל מלא,True,False,כל התקופה,ענקיות,CR3 עם מאגדים,0.3561429498280879,2.7538368150285923,3.6637248358127024e-08
פאנל מלא,True,False,כל התקופה,ענקיות,HHI,0.09356425456774754,2.853565257892947,1.1482284371775328e-08
פאנל מלא,True,False,פיחות 2/22-10/23,ריכוזיות,CR3 ללא מאגדים,-1.134811958755172,7.211821380482584,9.419353682794807e-17
פאנל מלא,True,False,פיחות 2/22-10/23,ריכוזיות,CR3 עם מאגדים,-0.7385969623550221,2.9272834567766983,3.158499037067428e-05
פאנל מלא,True,False,פיחות 2/22-10/23,ריכוזיות,HHI,-0.4276321414761365,3.2290464180461527,4.969123856204646e-06
פאנל מלא,True,False,פיחות 2/22-10/23,ענקיות,CR3 ללא מאגדים,-0.5186742847070451,2.0847948773455873,0.004189895384291184
פאנל מלא,True,False,פיחות 2/22-10/23,ענקיות,CR3 עם מאגדים,-1.183957232282151,2.5335935659806963,0.000331135366453475
פאנל מלא,True,False,פיחות 2/22-10/23,ענקיות,HHI,-1.5236131997041757,2.691610500887273,0.00013032262530198293
פאנל מלא,True,False,ייסוף 11/23-7/26,ריכוזיות,CR3 ללא מאגדים,-1.051425366817045,6.433449030679606,1.221857679305514e-19
פאנל מלא,True,False,ייסוף 11/23-7/26,ריכוזיות,CR3 עם מאגדים,-0.4785568531278741,3.8103611910705943,4.303349058119091e-10
פאנל מלא,True,False,ייסוף 11/23-7/26,ריכוזיות,HHI,-0.28732068095245705,3.559765071221917,3.740261903665882e-09
פאנל מלא,True,False,ייסוף 11/23-7/26,ענקיות,CR3 ללא מאגדים,2.1233029997371213,2.1914753428460942,0.0003434371578375868
פאנל מלא,True,False,ייסוף 11/23-7/26,ענקיות,CR3 עם מאגדים,1.336206702080058,2.1117271019100086,0.0006348208213541572
פאנל מלא,True,False,ייסוף 11/23-7/26,ענקיות,HHI,1.1226771800135171,2.0182773772465565,0.00128600152453014
פאנל מלא,True,True,כל התקופה,ריכוזיות,CR3 ללא מאגדים,-1.2887050912217481,8.826213679105551,6.06338520346232e-36
פאנל מלא,True,True,כל התקופה,ריכוזיות,CR3 עם מאגדים,-0.8667386619127804,5.932941562464323,8.351245623470661e-24
פאנל מלא,True,True,כל התקופה,ריכוזיות,HHI,-0.7475279072409221,4.725246696838304,4.2837081859839814e-18
פאנל מלא,True,True,כל התקופה,ענקיות,CR3 ללא מאגדים,1.1013520825257,2.4103181449979454,1.879563308580019e-06
