TIME_PERIOD,usd,eur,basket
2024-01-01,3.7133181818181815,4.0493,3.881309090909091
2024-02-01,3.6458500000000003,3.9339799999999996,3.7899149999999997
2024-03-01,3.627842105263158,3.945842105263158,3.7868421052631582
2024-04-01,3.7433157894736846,4.021094736842105,3.882205263157895
2024-05-01,3.7074761904761906,4.004014285714286,3.8557452380952384
2024-06-01,3.724736842105263,4.0075473684210525,3.8661421052631577
2024-07-01,3.681434782608696,3.991808695652174,3.836621739130435
2024-08-01,3.731761904761905,4.109738095238096,3.9207500000000004
2024-09-01,3.732809523809524,4.145861904761905,3.939335714285715
2024-10-01,3.751588235294118,4.0844588235294115,3.918023529411765
2024-11-01,3.7188095238095236,3.9503714285714286,3.834590476190476
2024-12-01,3.617666666666667,3.789328571428572,3.7034976190476194
2025-01-01,3.6152727272727274,3.7423090909090906,3.678790909090909
2025-02-01,3.5677999999999996,3.7150399999999997,3.6414199999999997
2025-03-01,3.6551,3.949875,3.8024875
2025-04-01,3.697476190476191,4.1497714285714284,3.92362380952381
2025-05-01,3.5627000000000004,4.017415,3.7900575
2025-06-01,3.4826,4.01286,3.74773
2025-07-01,3.3521739130434782,3.9153304347826086,3.6337521739130434
2025-08-01,3.395761904761905,3.9506619047619047,3.6732119047619047
2025-09-01,3.3432105263157896,3.920536842105263,3.631873684210526
2025-10-01,3.2805789473684213,3.8152263157894737,3.5479026315789475
2025-11-01,3.2548000000000004,3.7608400000000004,3.5078200000000006
2025-12-01,3.2151428571428573,3.764219047619047,3.489680952380952
2026-01-01,3.1455714285714285,3.691942857142857,3.418757142857143
2026-02-01,3.1026499999999997,3.6687600000000002,3.3857049999999997
2026-03-01,3.1155999999999997,3.5993900000000005,3.357495
2026-04-01,3.01525,3.53345,3.27435
2026-05-01,2.9007894736842106,3.38961052631579,3.1452
2026-06-01,2.9359545454545453,3.3809,3.1584272727272724
2026-07-01,3.0313636363636363,3.462109090909091,3.2467363636363635
