weighted,spec,term,phase,b,se,pc,F,pj
True,עם בקרת ייבוא v2,ייבוא,ייסוף 11/23-7/26,-2.4286677751442705,0.987921376586379,0.013957264090922204,5.237355703764047,4.8178590192957254e-15
True,עם בקרת ייבוא v1 (להשוואה),ריכוזיות,כל התקופה,-0.1587280171871673,0.9847466029733541,0.8719463864661086,4.7731690704887795,8.565013416165859e-18
True,עם בקרת ייבוא v1 (להשוואה),ריכוזיות,פיחות 2/22-10/23,-0.30520803580339695,0.6296240817894609,0.6278562157075653,2.4378176117277652,0.0006174371886878207
True,עם בקרת ייבוא v1 (להשוואה),ריכוזיות,ייסוף 11/23-7/26,-0.06551345988593031,1.268011643410661,0.9587945964011988,2.7393565430229656,4.8992068552425195e-06
True,עם בקרת ייבוא v1 (להשוואה),ענקיות,כל התקופה,2.063312703384917,2.2166618089471046,0.35194678535998647,3.08137483489722,1.3159893111021077e-09
True,עם בקרת ייבוא v1 (להשוואה),ענקיות,פיחות 2/22-10/23,-0.43263110698786855,1.35853423434159,0.750140333469083,3.0665349654184837,1.527293274722911e-05
True,עם בקרת ייבוא v1 (להשוואה),ענקיות,ייסוף 11/23-7/26,3.6516405827130534,2.8612279319435494,0.20186735220134044,2.3006214196052754,0.0001633587695603431
True,עם בקרת ייבוא v1 (להשוואה),ייבוא,כל התקופה,-0.480808595270717,0.8345781648692334,0.5645410199698759,7.759968525949895,1.5028099827912242e-30
True,עם בקרת ייבוא v1 (להשוואה),ייבוא,פיחות 2/22-10/23,-0.2172343162634567,0.4869025244429451,0.6554848105755606,3.1224517125945925,1.0898869940933756e-05
True,עם בקרת ייבוא v1 (להשוואה),ייבוא,ייסוף 11/23-7/26,-0.6485376819117008,1.0889287487495924,0.5514598309122908,5.384337375901393,1.470275328646991e-15
