ctg,imp_share_v3,rev_resolved,rev_total,resolved_pct
אביזרי טיפול לתינוק,91.23214404551415,0.10808642454998812,0.4329585728834426,24.964611239857867
אורגנו,0.0,0.006972384213182633,0.057521417780102634,12.121370582062507
אורז,27.342697739060757,23.370225857346355,26.87145648964852,86.97044712239206
אטריות,10.79639246088838,3.046066946716762,3.6687843683409507,83.0266006637565
אפטרסאן,0.0,0.01516948665646058,0.024304950102743923,62.41315695911678
אשל לבן שמנת,2.174358738468539,14.390386908237083,14.68518463979519,97.99255005102735
בורקס,8.169198825363578,9.281485297441854,10.901847776498501,85.13680880272682
בזיליקום,0.3277945198934777,0.3433480804018101,1.5581362960363845,22.03581812933985
בייגלה,22.33712467824703,14.513342441913192,15.542732676689589,93.37703185025991
בירה לבנה באריזה,43.16035718467595,13.141391994386705,13.191464835172042,99.6204148560376
בירה לבנה בודד,40.695311422954966,10.521575710943331,12.86965554156259,81.75491315182347
בירה לבנה בחבית,90.01671953459008,0.012963342240899999,0.012963342240899999,100.00000000000001
בעלי כנף קפואים,15.970950930404271,0.3188967155874343,0.5896894398660943,54.0787563806211
בצל ירוק,10.526251771147303,0.765632246683612,3.9031004643883453,19.61600152671433
בצקים קפואים,10.77890661497963,8.292162843436099,9.95914913929643,83.26175988988055
בק צואי,0.0,0.0007857599999999998,0.12041685877070214,0.6525332150510955
בשר בקר חלקי פנים,0.07985271597937689,0.2698468015235084,1.0572378483065614,25.523755317286216
בשר בקר קפוא,44.38478525591711,21.62195265355695,27.23589510709398,79.3877071729697
בשר ועוף מעובד,38.14059745149191,5.460298850348426,6.99293262040606,78.08310399580773
בשר טחון טרי,38.41188661913182,4.05939768973327,31.925298328237464,12.715300724826092
בשר טחון מופשר,2.3792931123637167,1.1239821550793399,4.630214079201243,24.27495005313529
בשר כבש טרי,2.3359249332514453,0.8226964743334948,2.0812869798223472,39.52825738638493
גבינות במרקם שמנת,0.0,4.5754912346217615,4.575500134621762,99.99980548574499
גבינות לבנות,2.7098915562319794,25.560862435041997,25.897143049731312,98.70147601206997
גבינות מותכות מדף,54.80869505822932,4.62642751339925,4.766897672308734,97.05321639846632
גבינות מיוחדות במשקל,30.339264604892268,17.5884497986318,24.401729106141115,72.07870279244008
גבינות מיוחדות מדף,28.6325906665296,23.978283272579965,27.069795934729605,88.57947555421599
