month,high,high_w,low,low_w,gap,gap_w
2022-01,100.0,100.0,100.0,100.0,0.0,0.0
2022-02,99.96438116637239,99.32177979459202,100.37830684643305,99.9138185958359,-0.41392568006065744,-0.5920388012438877
2022-03,99.33477825857449,98.85106311034141,100.1996017002566,100.22775683362386,-0.8648234416821055,-1.3766937232824432
2022-04,100.7000123690294,99.64206263152869,102.33854523935968,103.93471518874816,-1.6385328703302804,-4.292652557219469
2022-05,99.6522723390736,99.0649545312835,102.5927170348532,102.95211502917421,-2.94044469577959,-3.8871604978907044
2022-06,100.82698427150221,99.82812985786792,103.15249292390125,103.5504521453702,-2.325508652399037,-3.72232228750228
2022-07,101.41041675885785,100.20215792257059,104.03408345031946,103.72499825849593,-2.623666691461608,-3.5228403359253377
2022-08,101.46420879818618,100.30257871810954,104.23644809181027,103.52173712927448,-2.7722392936240965,-3.2191584111649405
2022-09,101.24743218245698,100.26325868764626,103.40145170532715,102.76874585680183,-2.154019522870172,-2.505487169155572
2022-10,102.35904055983094,101.76994526089831,105.09794123075622,105.28606823991925,-2.7389006709252754,-3.5161229790209347
2022-11,103.09385738521031,102.18208398629902,103.34734974933369,104.03328465147017,-0.2534923641233746,-1.8512006651711488
2022-12,105.2313349273925,102.84960717964597,104.068491140706,104.74317771274329,1.1628437866864942,-1.8935705330973178
2023-01,105.3298678651316,103.73750728148583,104.24360558746086,104.97613151377814,1.0862622776707411,-1.2386242322923096
2023-02,105.79603955005766,104.35105238024569,104.1212580264524,104.82046891081826,1.6747815236052617,-0.46941653057257327
2023-03,105.30576860549743,103.73680099716066,105.84470639406325,106.74334461767887,-0.5389377885658178,-3.006543620518215
2023-04,104.50179802043313,103.1807879673497,108.71222426144223,109.07186518702905,-4.2104262410091025,-5.891077219679346
2023-05,102.67131899610975,102.1980419794088,106.05529066663055,105.56928071218672,-3.3839716705208076,-3.3712387327779254
2023-06,105.16070171947966,104.43919798616488,106.83466670521375,105.99512598327014,-1.673964985734088,-1.5559279971052575
2023-07,105.65341992141303,105.62984932931813,107.28185532315806,106.62609568545763,-1.6284354017450227,-0.9962463561394941
