ctg,imp_share_v3,rev_resolved,rev_total,resolved_pct
אביזרי טיפול לתינוק,95.59450628434143,0.03530515556574182,0.522955810726284,6.751078167906733
אבקות תה,95.36542707717862,0.034374144878648136,0.04047468443533407,84.92751792436407
אורגנו,0.0,0.01577709249515821,0.06833897682885504,23.086521378085052
אורז,30.960845125535492,27.507825566866575,31.58858911005948,87.08152640507336
אטריות,10.44354036366417,2.732748715482055,3.165057318004398,86.341207785933
אפטרסאן,8.477400941074142,0.31471091021123104,0.459164267843229,68.53993924428845
אשל לבן שמנת,1.2249105003390972,24.25630822699924,24.47278076581643,99.11545589817256
בורקס,11.012896693910633,9.179861660967454,11.070143039071263,82.924508098656
בזיליקום,1.036625897296898,0.6285884421259325,3.4549919837483327,18.193629539017763
בייגלה,20.719101521012263,16.799164451800824,19.51499592651591,86.08336130357597
בירה לבנה באריזה,44.895259159146846,40.15624058615964,40.72903146213193,98.59365456184528
בירה לבנה בודד,37.83673201609778,27.266032099746404,29.948909128507065,91.04182053092896
בירה לבנה בחבית,100.0,0.047909734560299996,0.09149759329124998,52.36174290158259
בעלי כנף קפואים,19.123926883692626,0.09734863557369001,0.5018965863923338,19.396154150686403
בצל ירוק,0.7551332102839146,1.4402544159673376,6.450209348097009,22.32880110150615
בצקים קפואים,14.490717173480764,8.189135628546703,10.523213424063194,77.8197238670537
בק צואי,0.0,0.005257950000000002,0.15633371730791792,3.363285982411485
בשר בקר חלקי פנים,3.343940352670547,0.1634444225548204,1.193398476313371,13.695712354161078
בשר בקר קפוא,33.447996124635154,20.369811564961992,28.942925855478673,70.37924108528283
בשר ועוף מעובד,31.0338048736427,7.022877761407349,9.24901391095575,75.93109740151355
בשר טחון טרי,74.92030101582446,4.842284482057453,45.57554194479094,10.624743613412813
בשר טחון מופשר,48.0695515450837,0.4496115795823442,1.4037514254073464,32.02928748242404
בשר כבש טרי,68.7725103705925,1.1261692224160795,2.7170925365804415,41.447584403341814
גבינות במרקם שמנת,0.0006593330483812846,6.324573006370126,6.324573006370127,100.0
גבינות לבנות,3.5903821362238553,35.862757937453125,36.122447722520654,99.28108475078331
גבינות מותכות מדף,50.290734393375416,5.078434568840216,5.194781081851804,97.7603192285032
גבינות מיוחדות במשקל,34.40140520662695,23.47161386920812,29.75562522696245,78.88126594611025
גבינות מיוחדות מדף,33.15610246768142,36.727750794512744,40.79040888825516,90.04016335096807
גבינות מלוחות במשקל,8.286788726300857,22.68923151610806,23.43514896324469,96.8170996126096
גבינות מלוחות מדף,3.7841453701219336,43.49515562948903,44.483845493162754,97.77741817796375
גבינות צהובות במשקל,0.6615298283813359,50.71423045420058,51.484480497916365,98.5039180035099
גבינות צהובות מדף,3.28610133208909,81.12904320486632,89.88038765295511,90.26334367639873
גבינות רכות מעדניה,4.568453151845259,1.2221540624861904,2.1077130442666,57.98484123873946
גבינות שמנת,24.529821644915064,22.350133998054233,22.38792395965764,99.83120381473734
גבינות שמנת במשקל,4.314390224305313,2.376607579837033,2.5105982373620757,94.66299882111649
גבינת לאבנה,0.04576554844547759,9.033733700664698,9.963584273345097,90.66750933027218
גלידות חבילות בית,57.95690616330218,38.8564664826324,41.28135023649815,94.12595823544106
דאודורנט לגברים,87.13104054277193,12.036853666386374,12.563973817628018,95.8045109063976
דאודורנט נשים,73.93715936218463,18.373029522591317,18.78007453434781,97.83256977488546
דבש,3.730887744586462,5.506991248098021,8.746719652702955,62.960646582473046
דג במגש/קרטונית,100.0,0.33334740729396883,0.5701614390075688,58.46544232703603
דג גלם בשקית,96.873610945683,6.892493743412913,7.884168667404161,87.42194686814388
דג מעושן כבוש ארוז,62.11465235006288,16.411877906936787,18.102385632119212,90.66140916707165
דגי פילה טריים,81.25483265844345,2.9406525816243647,37.8827725626096,7.762506233576992
דגים טריים ארוזים,82.86254256333181,1.9349479533010907,3.226145392579282,59.97708465811309
דגים טריים סטנדרט,99.84328777432493,1.0938218904145594,4.588058595820214,23.840625998348113
דגים טריים פרימיום,76.7125881923806,5.163473106326054,32.47793880984901,15.898401485873295
דגים קפואים בואקום,78.4440252780745,68.86476954292895,97.51719317908103,70.61808005124324
דגנים,20.7646720568278,52.146544302737325,54.476032295682025,95.72382955443446
דגנים מיוחדים,49.374752865807295,7.700202370325371,10.084920474524985,76.35362509577016
דייסות,0.0,1.2563352505644654,1.2611721698498555,99.61647430850255
הגיינה נשית,69.49442368574402,35.44031560984814,37.07817572117333,95.58268420851704
הודו טרי ארוז,0.0,3.873887445759008,5.6868376700637215,68.12023958678603
הודו קפוא,37.718940296225654,1.8408314880028096,1.9896931972395648,92.51835863723709
היגיינת השיער,90.89356629510694,0.0350458740504,0.18730250826439002,18.710840754428343
היגיינת מבוגרים,35.18005155400037,8.149477945753627,11.266163549550566,72.33587467384787
וופלים,51.34312297822168,20.15392687936582,23.631382724704867,85.28458581603174
חומץ/מיץ לימון,23.759567960112758,9.121448489596098,10.164926500557387,89.7345247808327
חומרים לכביסה,48.83727602642458,52.87177925111053,58.992261405220916,89.62494061370444
חומרים למדיח,95.82103007858285,16.362048066375916,16.915905525498413,96.7258184417758
חטיפי דגנים ופירות למבוגרים,42.64877780708959,15.120774547392214,16.679499081697816,90.65484804627035
חטיפי דגנים לילדים,6.415685616090018,6.3110775631479905,6.3343084475269835,99.63325302878071
חטיפי חלבון,57.59924714542915,11.542489115340395,13.4516362833225,85.80732389895876
חטיפים,8.296690936185907,169.79982957339138,175.31379845184097,96.85480040524916
חטיפים אפויים,35.355183642224105,13.24632067366728,14.487749761052102,91.43118077092828
חטיפים מן הצומח,7.993193485217591,5.329800519733232,5.524895053662191,96.46881013966699
חטיפים מתוקים,34.53747707963149,70.22368470692135,70.63567878856023,99.41673374036351
חיתולים,31.017370871860805,63.1373732518972,66.24612798544595,95.30726575562012
חלב,0.032121011425547186,155.63576986134083,156.87840764626154,99.20789750255327
חלבה,1.175716455875791,3.6229899781707795,4.296625847714217,84.32174703082867
חליטות פירות וצמחים,14.616457490219165,5.320105504948547,5.929847155515483,89.7174137110802
חלקי הודו טרי,0.0,2.9336868576970656,8.444420688685549,34.74112631110188
חלקי עוף טרי,0.0,52.12456727337882,99.395171636005,52.4417498510533
חלקי עוף/הודו מתובל טרי ארוז,0.0,0.025616375579719998,0.2624979778076633,9.75869444544428
חלקי פנים הודו טרי,0.0,0.13500603170481001,0.41172032915783185,32.79071305052217
חלקי פנים עוף טרי,0.0,1.0972717988786809,2.2351904260614504,49.090752451554856
חלקי פנים עוף/הודו טרי ארוז,0.0,3.7388174467975928,4.627190915505776,80.80101977786929
חלקים ללא סיווג מופשר,22.912467018282058,0.00368720661693,0.8179163156328615,0.45080487409974573
חמאה,32.948219398846916,35.38088259464675,36.09734110112709,98.01520420999104
חמאה מעדניה,100.0,0.01358958,0.02475368,54.89923114462173
חמוצים טריים,0.0,0.15698966490827138,0.2998584712655557,52.354587231000984
חסה,0.6616781252481047,12.832195352243428,40.607089176710176,31.600874656150474
חרדל,29.459670317540077,2.599700105401973,4.03441668251878,64.43806651570058
חרוסת,25.99269743332956,0.00132954398887,0.00181986132185,73.05743426199297
טבלאות שוקולד חלב בודד,37.92656657369031,21.799561135191283,23.235975099074512,93.81814639687559
טבלאות שוקולד לבן בודד,19.460164282272434,6.516822065320251,7.008383966654669,92.98608775327908
טבלאות שוקולד מריר בודד,45.777723935685756,13.928327889316877,16.163318325782562,86.1724530110838
טחינה גולמית,2.582501051548716,14.771671187886962,16.391925847028496,90.1155320353328
טרגון,0.0,1.8e-05,0.15946578377362836,0.011287687912757588
יוגורט,21.196359932859608,94.51177417989976,96.1952497715058,98.24993895685617
יין אדום,8.244710260581357,19.891785816416316,22.65105689536497,87.81835615134905
יין לבן,21.854431845280022,13.159567068176283,14.92429619346905,88.17546166053029
יין רוזה,10.14285654512821,3.6514172280979817,4.8699262952216165,74.97890125525639
יינות מתוקים,0.6335452468567332,2.0723833179919726,2.1680047435474687,95.58942729068791
יינות תירוש,10.881256881200226,10.107761652000942,13.743113781337998,73.54782775448194
ירקות קפואים,13.731251525660754,52.24859220463722,64.89859518763751,80.50804806109272
ירקות שטופים אחרים,0.0,2.986182433481278,4.827317823834071,61.86007514851216
כבש קפוא,39.965402887256566,0.9282659841625688,1.0975077824026844,84.57944435987429
כוסברה,0.0,4.00808336552978,13.139709197937051,30.503592622575344
כלים חד פעמים,90.50670848376349,34.031420297761315,54.67756329727527,62.24019185481367
כרוב חתוך,0.0,1.5003872228507409,1.7211384439506363,87.17411595355506
כריכים,0.8879213056307027,5.2292754249723545,5.282276916413165,98.99661656744794
לאבנה מעדניה,0.0,0.6032957091466098,0.6254937314159872,96.4511199466179
לוף/פרסה,0.0,0.7402992101415533,1.5703801693995314,47.14140082554804
לחם ארוז מיוחד,2.6971490853264166,46.95713806184625,53.71652965578754,87.41655196779263
לחם חשוף,0.03668198132741784,4.675271038240496,5.763918553008507,81.11271863479428
לחם מפוקח ארוז,0.3368315187673171,12.75347935750786,14.378331178459119,88.69930174243359
לחמניות ארוזות,1.0606386927248075,23.863649146533287,27.458566609497655,86.90784732470004
לקטים לסלט,0.0,3.3162943590372826,4.821007600115008,68.78840761334146
לקקנים,58.18132456209044,1.377806797277205,1.7513932432008055,78.66918538289877
מברשות שיניים,91.90570964665376,14.950815782918848,17.63713251349955,84.76897121159246
מגבונים לחים,26.36989054636854,22.816372715627676,37.168121757201455,61.38694030512027
מגבות נייר,1.3134433360358602,23.12978162893975,37.40152951194228,61.84180682117406
מוצרי אפטר שייב,65.14774886127638,0.41089736793120646,0.47185684042417647,87.0809391174301
מוצרי אקונומיקה,8.458719487497586,7.77108834027741,10.048888305309113,77.33281636906764
מוצרי בצק טרי,0.6201639072231553,4.741159436662429,4.7428353774805,99.96466373625303
מוצרי בשר על האש,44.533166647064945,25.910712447146246,31.334777559316596,82.68995175758751
מוצרים לטיפול בשיער,3.8187582032371434,1.5166780669693534,1.558006161237847,97.34737286047327
מוצרלה טרייה,7.371546306929895,6.0600058859367225,6.154475657781623,98.46502322703228
מזון תינוקות/ילדים אחר,85.03125855621579,1.7741259590027745,4.258452126031564,41.661286930001864
מחיות לתינוק,0.48809498099937215,2.341610883338651,2.998444493013492,78.09418812970218
מיונז,41.32799157144679,24.539619513052124,27.040236350644506,90.7522374983502
מיכלי שמנת מתוקה,6.452794385118878,44.55821738422111,44.629232861748505,99.84087676849076
מים בבקבוק,4.243333264459305,69.29962137072314,72.41844173279247,95.69333406319751
מים מוגזים,93.13758160739603,4.0445776528084085,4.1099705282825685,98.40892106101099
מים מועשרים,30.992934859997902,16.33927530111056,16.489801999637727,99.08715278369944
מיץ 100% ירק,4.3199456475876135,0.4321403771217882,0.5219155802087482,82.79890340674388
מיץ 100% פרי,20.328859068697184,1.4177467268451476,1.807848618189166,78.42176123492219
מיץ טבעי סחוט מקורר,7.337148834137458e-05,16.764005035269218,16.95309742098142,98.88461452785509
ממרחים מצוננים,4.622449583001719,6.76519800331289,8.218779777705475,82.3138980030148
