period,beta,se,lo,hi
2024-01-01,0.0,0.0,0.0,0.0
2024-02-01,0.0011591500289795768,0.0020816130705507783,-0.002920811589299949,0.0052391116472591025
2024-03-01,0.0001326804969732547,0.003367868718430513,-0.0064683421911505504,0.00673370318509706
2024-04-01,-0.0030118383843751153,0.006224467736618725,-0.015211795148147817,0.009188118379397585
2024-05-01,0.0027293545896168937,0.0033068705488216226,-0.0037521116860734865,0.009210820865307274
2024-06-01,0.004837457966131909,0.003550968091413574,-0.002122439493038696,0.011797355425302514
2024-07-01,0.0075194993558657984,0.004028824264289036,-0.00037699620214071226,0.01541599491387231
2024-08-01,0.008409531935499414,0.00422777738795092,0.0001230882551156113,0.016695975615883214
2024-09-01,0.005775862667853571,0.00444368470491846,-0.0029337593537866104,0.014485484689493752
2024-10-01,-0.000965532302277694,0.00433071073394569,-0.009453725340811245,0.007522660736255857
2024-11-01,0.0063365110520837015,0.004716525481349859,-0.0029078788913620233,0.015580900995529426
2024-12-01,0.006960528302242572,0.0054075848944909076,-0.0036383380909596075,0.01755939469544475
2025-01-01,0.008820487684114767,0.004251028919082493,0.0004884710027130805,0.017152504365516453
2025-02-01,0.013268485447232484,0.004730115411512519,0.003997459240667946,0.02253951165379702
2025-03-01,0.013021285366348057,0.005581904429833117,0.0020807526838751474,0.023961818048820964
2025-04-01,0.01374495937172579,0.005973217691458221,0.0020374526964676773,0.025452466046983903
2025-05-01,0.015300877299651336,0.005387741933634092,0.004740903109728517,0.025860851489574156
2025-06-01,0.015187826011950761,0.004848501596081797,0.005684762883630441,0.02469088914027108
2025-07-01,0.02052331017946904,0.006340292830796639,0.008096336231107627,0.03295028412783045
2025-08-01,0.02065574456251021,0.00607606931680567,0.008746648701571096,0.03256484042344932
2025-09-01,0.022171227447407883,0.007080371873730668,0.008293698574895774,0.036048756319919995
2025-10-01,0.02001459909472477,0.006354274733213112,0.007560220617627072,0.03246897757182247
2025-11-01,0.02399564957939683,0.0065111976519194445,0.01123370218163472,0.03675759697715894
2025-12-01,0.019745819666092394,0.007038120400063159,0.005951103681968602,0.03354053565021618
2026-01-01,0.01830071073422023,0.0063148000149059885,0.0059237027050044935,0.030677718763435967
2026-02-01,0.01962719059464743,0.006910311494343614,0.006082980065733948,0.033171401123560915
2026-03-01,0.016218452237383593,0.00804958915026347,0.0004412575028671928,0.031995646971899994
2026-04-01,0.01836566874850732,0.007265562858375471,0.004125165546091398,0.032606171950923246
2026-05-01,0.012395277175013444,0.0067797435267481715,-0.0008930201374129712,0.02568357448743986
2026-06-01,0.010962067828745092,0.006991148177080311,-0.002740582598332318,0.024664718255822504
2026-07-01,0.011151937653624933,0.007044235619506399,-0.0026547641606076092,0.024958639467857473
