sample,measure,weighted,giants,phase,b,se,pc,F,pj
ללא בשר ועוף,מדד פשוט (נמוך/בינוני/גבוה),True,True,פיחות 2/22-10/23,-0.173407873986522,0.5407162975760909,0.7484375267337231,2.9024998345475717,4.0840445841980666e-05
ללא בשר ועוף,מדד פשוט (נמוך/בינוני/גבוה),True,True,ייסוף 11/23-7/26,-0.6627710002489896,1.3020921082408945,0.6107489311387457,5.603575936563531,2.535276099466756e-16
ללא בשר ועוף,מדד מורכב (יצרן×קטגוריה),False,False,כל התקופה,0.7281439221929664,0.6010376596131171,0.22571224830353043,4.169076307556104,6.265558453342997e-15
ללא בשר ועוף,מדד מורכב (יצרן×קטגוריה),False,False,פיחות 2/22-10/23,0.1959060190723171,0.4033022131128496,0.6271409665305399,3.03906352810373,1.8020032542183683e-05
ללא בשר ועוף,מדד מורכב (יצרן×קטגוריה),False,False,ייסוף 11/23-7/26,1.06684076963338,0.782885049688238,0.17297574385017822,3.2587749435661357,6.629495152610649e-08
ללא בשר ועוף,מדד מורכב (יצרן×קטגוריה),False,True,כל התקופה,0.7176776355643861,0.5966556771057229,0.22904062909273581,4.180196853300526,5.539605331391082e-15
ללא בשר ועוף,מדד מורכב (יצרן×קטגוריה),False,True,פיחות 2/22-10/23,0.19956944396675524,0.40346163600881524,0.6208521960772613,3.085838201389033,1.3595120627277655e-05
ללא בשר ועוף,מדד מורכב (יצרן×קטגוריה),False,True,ייסוף 11/23-7/26,1.047382848399242,0.7737450601798251,0.17584689226337147,3.368448770218022,2.646145570199558e-08
ללא בשר ועוף,מדד מורכב (יצרן×קטגוריה),True,False,כל התקופה,-0.5609161451043578,1.0531450470079646,0.5943032091464691,10.159065432789816,3.2161178355855524e-39
ללא בשר ועוף,מדד מורכב (יצרן×קטגוריה),True,False,פיחות 2/22-10/23,-0.08238940354666473,0.5392040006329198,0.8785574131384102,3.664528247358934,3.981778957146433e-07
ללא בשר ועוף,מדד מורכב (יצרן×קטגוריה),True,False,ייסוף 11/23-7/26,-0.8654331624592535,1.406586093835172,0.5383750477286511,5.794855832485783,5.5403188919641983e-17
ללא בשר ועוף,מדד מורכב (יצרן×קטגוריה),True,True,כל התקופה,-0.43308476859295686,0.9617788993296184,0.6524973396604521,9.546785971955378,4.014140721515942e-37
ללא בשר ועוף,מדד מורכב (יצרן×קטגוריה),True,True,פיחות 2/22-10/23,-0.1254691971654933,0.5298912433141976,0.8128252007806068,3.326266024387314,3.162398584114106e-06
ללא בשר ועוף,מדד מורכב (יצרן×קטגוריה),True,True,ייסוף 11/23-7/26,-0.6288401322286155,1.2632684708940327,0.6186333371964401,5.22229933883102,5.442746196942669e-15
