ctg,dep,rev,fx_v2,fx_dom,fx_imp,imp_share,unk_share,identified,n_pairs,simple_score,complex_score
נקניקיות מן הצומח,מזון מוכן קפוא מן הצומח,151.8900071532944,41.70890769550131,35.64,46.800000000000004,54.3052662070867,0.13906928913561753,99.8609307108644,8,55.0,67.62657586995434
נקניקיות מצוננות,מזון מקורר ארוז,1131.195913279448,21.661000711174797,21.535000000000004,47.45,0.44873621175993333,1.050836015825463,92.29312135886808,21,55.0,55.09650711655605
נקניקים יבשים,מזון מקורר ארוז,415.8110450369925,21.535000000000004,21.535000000000004,47.45,0.0,2.100973221176855,92.69586257815305,13,55.0,55.0
נקניקים מן הצומח,מזון מקורר ארוז,10.237994059781169,36.135,36.135,47.45,0.0,0.0,100.0,2,55.0,55.00000000000001
נתחים אחורי טרי,קצביה בשרית טרי,636.9590942019546,47.365230844141884,34.74,54.0,10.472169141500782,2.7075997249236936,16.768336975372687,11,15.0,20.454185547592555
נתחים אחורי מופשר,קצביה בשרית מופשר,131.40105844218678,59.040007484167226,57.128,59.2,21.648997437129246,0.0,21.648997437129246,4,15.0,25.299764595043165
נתחים קדמי טרי,קצביה בשרית טרי,4200.567048424752,48.43001783296057,34.74,54.0,8.161530613668665,0.4386680688243773,11.446155280198887,16,15.0,19.112165887961964
נתחים קדמי מופשר,קצביה בשרית מופשר,271.94905143390685,58.567967676995224,57.128,59.2,7.7220369839385805,0.14581596810356726,10.056939854473846,11,15.0,17.870601621962358
סבון לגוף,סבוני רחצה,1232.817642157574,27.652251761208003,23.799999999999997,37.400000000000006,25.43143058572548,3.7591563637004652,89.78319108027556,33,55.0,60.75459650288855
סבון מוצק,סבוני רחצה,154.15296163089818,28.255147198771454,23.799999999999997,37.400000000000006,31.817302247370023,1.7214798315297386,97.12705130900193,9,55.0,61.8661852858508
סבון נוזלי לידיים/משאבה,סבוני רחצה,415.44270133740304,27.957333408119165,23.799999999999997,37.400000000000006,22.744740775042168,5.097965219952506,74.40550087622584,32,55.0,60.60291041916372
סבון רחצה לגבר,סבוני רחצה,223.09752373192168,27.0284140127063,23.799999999999997,37.400000000000006,22.702333943381696,2.4351268236701418,95.63573333990443,18,55.0,58.83119145396809
סודה,משקאות לא אלכוהולים,970.9552461278021,7.921766725825618,7.920000000000001,46.800000000000004,0.004452546044182778,1.1669333894299079,97.98633590324417,13,15.0,14.999999999999998
סוכריות אחרות,סוכריות,65.32416424692919,44.803761108656225,29.520000000000003,46.800000000000004,34.52572885821487,54.36893335305353,39.03519496467757,27,55.0,63.1232092171635
סוכריות גומי,סוכריות,410.4969722657131,33.88300345724666,29.520000000000003,46.800000000000004,17.24696589795648,22.84075314386223,68.30789240418434,44,55.0,59.037780926659046
