mfr,ctg,dep,rev,mat,imp_mat,m_retail,land,role,core_dom,imp_kind,core_imp,core,identified,fx
ליב בעמ,חזה בגריל צמחוני,מזון מוכן קפוא מן הצומח,0.017562871835800024,0.45,0.6,0.28,0.65,UNK,0.34,,0.65,0.77,0.9992566256509923,77.0
רוצים את הטבע,נקניקיות מן הצומח,מזון מוכן קפוא מן הצומח,0.16230315136696666,0.5,0.85,0.28,0.65,UNK,0.495,,0.65,0.6401980471144937,0.9986093071086438,64.01980471144937
בלדי,נקניקיות מצוננות,מזון מקורר ארוז,0.521937343617976,0.5,0.45,0.27,0.65,DOM,0.29500000000000004,,0.65,0.29500000000000004,0.9229312135886807,29.500000000000004
אלמוג דיל,תכשירי ניקוי כלי כסף ונחושת,ניקוי הבית,0.0360558088566935,0.45,0.75,0.3,0.6,UNK,0.40750000000000003,,0.6,0.537768652513391,0.7521037935230321,53.7768652513391
"מנה י.א בע""מ",סוכריות גומי,סוכריות,0.0057331484789372635,0.4,0.85,0.28,0.65,UNK,0.41000000000000003,,0.65,0.4847290115408136,0.6830789240418434,48.47290115408136
זוגלובק,סוכריות מרשמלו,סוכריות,0.23659362139753368,0.4,0.85,0.28,0.65,DOM,0.41000000000000003,,0.65,0.41000000000000003,0.8215976322253112,41.0
יצרן לא ידוע,עלים לבישול אחרים,עלים ותבלינים טריים,0.60464787358315,0.6,0.1,0.32,0.6,BUCKET,0.13,,0.6,0.6868439080099109,0.2783094142251117,68.6843908009911
טעם עוף,חלקי פנים עוף טרי,קצביה עוף טרי,0.14627336153463455,0.7,0.5,0.28,0.7,UNK,0.42,,0.7,0.41999999999999993,0.16050577835760999,41.99999999999999
געשמאק בעמ,טבלאות שוקולד חלב בודד,שוקולד טבלאות,0.055952383062896675,0.55,0.12,0.28,0.65,UNK,0.136,,0.65,0.3040670104362988,0.7612756126765999,30.40670104362988
ליברס,שימורי זיתים ירוקים/מיקס,שימורים,0.05185858412077644,0.55,0.8,0.25,0.7,UNK,0.51,,0.7,0.5118550760543832,0.7490897061176109,51.18550760543832
