sample,measure,weighted,giants,phase,b,se,pc,F,pj
פאנל מלא,"v2 — חשיפת מט""ח במחיר",False,False,כל התקופה,1.2735952405286235,0.5848846037723904,0.029442132962268608,4.046416252161739,9.240434208789477e-15
פאנל מלא,"v2 — חשיפת מט""ח במחיר",False,False,פיחות 2/22-10/23,0.7899553251353691,0.38064720781222344,0.037959183593421875,3.6609573722868625,3.320363752672352e-07
פאנל מלא,"v2 — חשיפת מט""ח במחיר",False,False,ייסוף 11/23-7/26,1.5813660957788762,0.7632957277816143,0.038287762866526055,2.5346412646474845,2.1859377553397453e-05
פאנל מלא,"v2 — חשיפת מט""ח במחיר",False,True,כל התקופה,1.3171339887223699,0.5888352295927808,0.02529637794916386,3.902422009481309,4.9385413319067595e-14
פאנל מלא,"v2 — חשיפת מט""ח במחיר",False,True,פיחות 2/22-10/23,0.7566793509009099,0.3832853392045787,0.04835976688485782,3.5274339646368675,7.66811014065853e-07
פאנל מלא,"v2 — חשיפת מט""ח במחיר",False,True,ייסוף 11/23-7/26,1.6737869400632994,0.7681767757033263,0.029338462918018924,2.372810947863687,8.124704702823279e-05
פאנל מלא,"v2 — חשיפת מט""ח במחיר",True,False,כל התקופה,-0.434153332281697,0.9850041748688377,0.6593846284911894,12.729283583882404,1.2687927804849581e-49
פאנל מלא,"v2 — חשיפת מט""ח במחיר",True,False,פיחות 2/22-10/23,0.3214367969978048,0.5116379341290708,0.5298398413656656,7.94104435945893,1.1954883576907316e-18
פאנל מלא,"v2 — חשיפת מט""ח במחיר",True,False,ייסוף 11/23-7/26,-0.9149834145504709,1.312160291288621,0.4856083716617303,7.627872827629888,9.713479320840882e-24
פאנל מלא,"v2 — חשיפת מט""ח במחיר",True,True,כל התקופה,-0.5362961812371364,0.8576534014660295,0.5317699647668934,7.949493770769429,1.389068876359335e-32
פאנל מלא,"v2 — חשיפת מט""ח במחיר",True,True,פיחות 2/22-10/23,0.015685560547722827,0.4728124126836602,0.9735350194863454,5.2905221006946075,1.1493082362898141e-11
פאנל מלא,"v2 — חשיפת מט""ח במחיר",True,True,ייסוף 11/23-7/26,-0.8875572896456834,1.1351129257330153,0.43426687643569806,5.036480744781515,1.1270337088490906e-14
פאנל מלא,v1 — המדד המורכב הישן,False,False,כל התקופה,0.2686835034595189,0.6138402146938657,0.6615971064024808,4.081692092097109,6.136285665769439e-15
פאנל מלא,v1 — המדד המורכב הישן,False,False,פיחות 2/22-10/23,-0.21793538379094685,0.42083501184368644,0.6045530264181058,2.2563143442380276,0.0016183215015243412
פאנל מלא,v1 — המדד המורכב הישן,False,False,ייסוף 11/23-7/26,0.5783500680734516,0.7913561740930888,0.46488049930666,2.783501106977546,2.772088909897852e-06
פאנל מלא,v1 — המדד המורכב הישן,False,True,כל התקופה,0.26328888062142675,0.6122891192661353,0.6671902245007787,4.11505547309313,4.168341311289717e-15
פאנל מלא,v1 — המדד המורכב הישן,False,True,פיחות 2/22-10/23,-0.2064526785011414,0.4208635045255501,0.623747974353959,2.297779190397548,0.0012808913447515632
פאנל מלא,v1 — המדד המורכב הישן,False,True,ייסוף 11/23-7/26,0.5622153273357883,0.7879417026735188,0.47552155806428287,2.840270997929514,1.7201132511535128e-06
פאנל מלא,v1 — המדד המורכב הישן,True,False,כל התקופה,-1.0459496640706758,1.0351133397507495,0.3122707725884437,8.87746313419204,2.950814576353631e-36
פאנל מלא,v1 — המדד המורכב הישן,True,False,פיחות 2/22-10/23,-0.4629924329922328,0.5619873189271362,0.4100256223102988,3.927953219452891,6.184565997192996e-08
פאנל מלא,v1 — המדד המורכב הישן,True,False,ייסוף 11/23-7/26,-1.4169224474842308,1.3679918354785148,0.3003102942678214,4.925345731426964,2.888725464618221e-14
פאנל מלא,v1 — המדד המורכב הישן,True,True,כל התקופה,-1.0576602186745303,1.006231884841783,0.2932081529341799,8.709341076781696,1.3202753295348544e-35
פאנל מלא,v1 — המדד המורכב הישן,True,True,פיחות 2/22-10/23,-0.5320246251448961,0.5607491582926071,0.34273520237128985,3.8831134443657604,8.205393707933764e-08
פאנל מלא,v1 — המדד המורכב הישן,True,True,ייסוף 11/23-7/26,-1.3921555963752066,1.3174269137851522,0.2906379293660105,4.805697704082492,7.984840793234235e-14
ללא בשר ועוף,"v2 — חשיפת מט""ח במחיר",False,False,כל התקופה,0.2526200375456718,0.5783514413788756,0.6622612547925439,3.993563708711465,4.409405267781952e-14
ללא בשר ועוף,"v2 — חשיפת מט""ח במחיר",False,False,פיחות 2/22-10/23,0.14177335516831385,0.38736022774530826,0.7143660159934956,3.975040387663406,5.874647716357949e-08
ללא בשר ועוף,"v2 — חשיפת מט""ח במחיר",False,False,ייסוף 11/23-7/26,0.3231588354221724,0.7597513282187779,0.6705828848764936,2.5451145241223787,2.362862533446303e-05
