period,beta,se,lo,hi
2024-01-01,0.0,0.0,0.0,0.0
2024-02-01,-0.0014746502699700126,0.0016898346982924502,-0.004786726278623215,0.0018374257386831899
2024-03-01,-0.003152271207673661,0.00252503208424258,-0.008101334092789118,0.0017967916774417952
2024-04-01,-0.015766474401737965,0.008384309435305675,-0.032199720894937084,0.0006667720914611576
2024-05-01,-0.0009502763955466778,0.0035626037763836376,-0.007932979797258608,0.006032427006165252
2024-06-01,0.00569314166900034,0.0037203993375525637,-0.0015988410326026846,0.012985124370603365
2024-07-01,0.010081302314963202,0.005843710572535279,-0.0013723704072059455,0.02153497503713235
2024-08-01,0.010300417249442834,0.0040965506898175685,0.0022711778974003997,0.018329656601485268
2024-09-01,0.007828613235376519,0.004174030914113146,-0.0003524873562852464,0.016009713827038283
2024-10-01,0.004227196397040528,0.003299974420691833,-0.0022407534675154646,0.010695146261596521
2024-11-01,0.008626671676258059,0.003577761534383546,0.0016142590688663083,0.01563908428364981
2024-12-01,0.01270611954719797,0.0051203195349753955,0.0026702932586461937,0.022741945835749747
2025-01-01,0.014795227815441419,0.005216262267806651,0.004571353770540382,0.025019101860342455
2025-02-01,0.015479155619053317,0.0046623709854359905,0.006340908487598775,0.02461740275050786
2025-03-01,0.010314307185179297,0.0063348159396368914,-0.00210193205650901,0.022730546426867605
2025-04-01,0.006883023919264403,0.008713396732542233,-0.010195233676518374,0.02396128151504718
2025-05-01,0.01513749953629308,0.007010970206616633,0.0013959979313244806,0.028879001141261677
2025-06-01,0.019742149558774666,0.005826523292168923,0.008322163906123578,0.031162135211425752
2025-07-01,0.025241127932876375,0.010402260976548476,0.0048526964188413645,0.04562955944691138
2025-08-01,0.022466651242038685,0.0076989782259037865,0.007376653919267263,0.037556648564810106
2025-09-01,0.021494877762221844,0.010174394920038568,0.0015530637189462501,0.04143669180549744
2025-10-01,0.01980417131898639,0.008946536603309881,0.002268959576499023,0.03733938306147375
2025-11-01,0.026017583084481197,0.008314322807919928,0.00972151038095814,0.04231365578800425
2025-12-01,0.024591098697558933,0.008227929519031372,0.008464356840257443,0.04071784055486043
2026-01-01,0.019357120229574802,0.008543591338985133,0.0026116812051639425,0.03610255925398566
2026-02-01,0.020564769986239906,0.00886918812492755,0.003181161261381911,0.0379483787110979
2026-03-01,0.0047355547688347766,0.01036175296935799,-0.015573481051106883,0.025044590588776436
2026-04-01,0.01189821294988741,0.008901926433149774,-0.005549562859086147,0.029345988758860967
2026-05-01,0.011334790688397923,0.007742959482452776,-0.003841409897209519,0.026510991274005365
2026-06-01,0.021237234220165865,0.008177701453548718,0.005208939371210378,0.03726552906912135
2026-07-01,0.0225452915712611,0.010064499060804918,0.0028188734120834606,0.04227170973043874
