weighted,term,phase,b,se,pc,F,pj
False,ריכוזיות,כל התקופה,-0.4188126913755354,0.5528207993620254,0.44869518817268994,1.1924388112634097,0.18673082438972136
False,ריכוזיות,2022 (הבסיס),-1.354967526243086e-17,8.893336851333535e-18,0.12761464324455798,1.376761490755078,0.18398186994210447
False,ריכוזיות,2023-2024,-0.5119454452222043,0.5972987560617874,0.3913889907660796,1.5366059235694773,0.05620191726925257
False,ריכוזיות,2025-2026,-0.5656845968590287,0.9372335548431057,0.5461305990472409,0.8341262367912017,0.6651236496350421
False,ענקיות,כל התקופה,2.04656322290823,1.0928669746147752,0.06111598821942083,2.973984276262903,4.545960434426128e-09
False,ענקיות,2022 (הבסיס),2.110303534500279e-17,1.863235204127087e-17,0.25738151500991524,1.602228001869596,0.09827325038346475
False,ענקיות,2023-2024,1.2305858466023956,1.1716948824605284,0.2935979708002975,2.0658201330631774,0.0031677550896081407
False,ענקיות,2025-2026,4.3698377337629015,1.8697817187228436,0.019434794674958452,1.8786920644013791,0.01606170853924345
False,ייבוא,כל התקופה,0.06402707157515249,0.4638038328220285,0.8902026865352075,3.994328952136078,4.5522266542735836e-14
False,ייבוא,2022 (הבסיס),8.922758661422274e-18,6.358833304268711e-18,0.1605551556459779,2.6381242333453643,0.0032897149768381117
False,ייבוא,2023-2024,0.013461831032885743,0.5071853272785063,0.9788248485441416,3.6104609677975947,1.434523865903429e-07
False,ייבוא,2025-2026,0.16833710483390177,0.784337469518546,0.8300610176987063,1.6465167313099418,0.04610923905278763
True,ריכוזיות,כל התקופה,-0.312227269245811,0.8989606595224363,0.7283507156945954,3.6844685618482935,1.4631414004250959e-12
True,ריכוזיות,2022 (הבסיס),-1.0666350690565772e-17,1.0831667734928343e-17,0.3247529693770811,1.6888823801257489,0.07611244314145199
True,ריכוזיות,2023-2024,-0.36243168803309145,1.0711801632612834,0.7351009400133597,2.0497905721702865,0.003480853730369707
True,ריכוזיות,2025-2026,-0.4460073313539695,1.36085400107071,0.7431076782074784,2.585593353379923,0.0004389085245592513
True,ענקיות,כל התקופה,1.4699691613722077,1.1225225361563236,0.190357227215894,5.905630705953936,7.104011577859766e-23
True,ענקיות,2022 (הבסיס),4.1644868679198876e-18,2.0261755621681934e-17,0.8371546597849153,4.151771958960395,1.2158558674914913e-05
True,ענקיות,2023-2024,0.4059919616117037,1.0415894546233677,0.6966983650666145,2.99357780470338,8.94280065024362e-06
True,ענקיות,2025-2026,3.7423419366731823,2.095123034175581,0.07406431839305636,1.8963799659320688,0.014772451684314727
True,ייבוא,כל התקופה,-1.5356254150750732,0.7833682739634149,0.04996243783571604,8.159229353861711,5.036004199782103e-32
True,ייבוא,2022 (הבסיס),1.2197224401496025e-17,8.681393270289718e-18,0.16002583885562993,2.9755290742933638,0.0009797993764337923
True,ייבוא,2023-2024,-1.4940370312426896,0.9021772872966618,0.09771476092052832,3.892058413944594,2.134282535632243e-08
True,ייבוא,2025-2026,-2.5580267936476044,1.1997587285629305,0.03299717376377785,3.899860096944215,2.761617668696876e-07
