month,high,high_w,low,low_w,gap,gap_w
2022-01,100.0,100.0,100.0,100.0,0.0,0.0
2022-02,99.99571053930917,99.40923801663176,99.9394655623257,99.3709109407899,0.05624497698347852,0.038327075841863234
2022-03,99.73846373682093,98.97862624298644,98.86776875322153,99.27036686448292,0.8706949835994067,-0.29174062149648705
2022-04,100.10867065915978,99.63395059530694,101.22186484582303,102.75591320698103,-1.1131941866632502,-3.1219626116740926
2022-05,99.55093326856161,99.27752141566563,101.25115358413113,101.28698240749856,-1.7002203155695241,-2.009460991832924
2022-06,100.76455134933644,100.01964846147351,102.24119004400339,102.39473688555401,-1.4766386946669456,-2.375088424080502
2022-07,101.27016905674363,100.38549372942815,103.14615190573444,102.62197199909879,-1.875982848990816,-2.2364782696706413
2022-08,101.46095071963875,100.36056240771643,103.23565417941221,102.54370631295681,-1.7747034597734626,-2.183143905240385
2022-09,101.21318331921223,100.18523601456036,101.88267303652528,101.41103522433028,-0.6694897173130414,-1.2257992097699173
2022-10,102.24964163929413,101.80372691418407,103.63582054777953,103.67785722519154,-1.3861789084854053,-1.8741303110074767
2022-11,102.61228015610564,102.04845096813109,103.80375098449146,103.70269877974985,-1.1914708283858175,-1.6542478116187596
2022-12,104.48058754976859,102.72578818237173,104.76320570023489,104.54267058588344,-0.28261815046630545,-1.8168824035117126
2023-01,104.78785002629274,103.65530304398027,104.58044111310687,104.39084020102034,0.20740891318587273,-0.7355371570400706
2023-02,105.34824855226415,104.1017456597937,103.83486978787178,103.85373762014873,1.513378764392371,0.2480080396449722
2023-03,104.75304368166564,103.64501108037283,104.72794967823236,104.75821731351047,0.025094003433281387,-1.113206233137646
2023-04,103.89158291127806,103.07280334282993,106.96733780788136,106.57058161412127,-3.0757548966033,-3.497778271291338
2023-05,102.30520262491393,102.21898207253722,104.92349121922287,103.74641183876803,-2.618288594308936,-1.52742976623081
2023-06,104.66333311769907,104.46324121381272,105.96065255400615,103.97306135889646,-1.2973194363070775,0.4901798549162635
2023-07,104.9186708809632,105.43343995918431,106.96336026001605,105.20875196787787,-2.0446893790528406,0.22468799130643902
2023-08,104.36291455316878,104.96585527604074,105.56179159404434,103.5808626219016,-1.1988770408755585,1.3849926541391397
2023-09,104.09017917847795,104.45984642059116,105.04410347179696,103.32345293881495,-0.9539242933190053,1.13639348177621
2023-10,105.29457780622313,106.17918417921113,108.07610070248195,105.95225454129498,-2.7815228962588208,0.2269296379161574
2023-11,105.64152747622273,106.09721632769782,107.97194084302009,106.72208475335975,-2.3304133667973588,-0.6248684256619299
2023-12,106.21229971559525,106.76188075819067,108.90581777787614,108.12042472011927,-2.693518062280887,-1.3585439619286035
2024-01,105.95142904636464,106.1906925312739,108.15745185874161,107.68504104897856,-2.206022812376972,-1.4943485177046654
2024-02,107.4607155674885,107.19573936254656,109.19609942682396,108.61140275099427,-1.7353838593354567,-1.4156633884477117
2024-03,108.03050112439385,107.74067766395183,109.14103453201606,109.03430733925248,-1.1105334076222135,-1.2936296753006502
2024-04,108.6455503175233,107.67616419018408,111.26664086926408,112.13280598512192,-2.621090551740778,-4.456641794937838
2024-05,107.980050460153,108.265900238507,110.27952828830654,109.39623790163668,-2.2994778281535417,-1.13033766312968
2024-06,108.94979848409791,109.53895556413349,110.88300428898215,111.01662009224165,-1.9332058048842384,-1.4776645281081642
2024-07,110.00708783104062,110.74412204743453,111.05863041522501,110.38683191462601,-1.0515425841843893,0.3572901328085152
2024-08,111.09618855371937,111.39604492115458,111.66851493348109,111.0844345521885,-0.5723263797617193,0.31161036896608607
2024-09,109.44538546012474,109.96567793488477,108.94342119502637,108.92954385456963,0.5019642650983656,1.0361340803151364
2024-10,110.0839779151991,111.14619806649897,112.99225743788561,111.28572691711642,-2.908279522686513,-0.13952885061745235
2024-11,111.18517537536137,112.18851154245253,112.08631742876327,111.86421016830678,-0.9011420534018981,0.32430137414574745
2024-12,111.44698336798433,112.16541980543555,112.14157259576092,111.86023750327823,-0.6945892277765893,0.3051823021573199
2025-01,112.41293663071966,113.20061260063967,113.09723717074156,112.28496893239304,-0.6843005400219084,0.9156436682466307
2025-02,112.81180796234595,113.95614983871609,113.37933879894051,113.09101100518136,-0.5675308365945568,0.8651388335347292
2025-03,113.85981590502301,114.14797950562775,114.64793949660267,114.28796095844753,-0.7881235915796623,-0.13998145281978225
2025-04,113.05951079535761,113.77130420280449,114.12023738371329,114.45028756774742,-1.0607265883556778,-0.6789833649429369
2025-05,112.16111202273026,113.02369277898745,114.48977249888104,112.25869602720107,-2.328660476150773,0.7649967517863843
2025-06,115.01123174639028,116.70012023259841,115.40015475674332,113.56712622894119,-0.38892301035303944,3.132994003657217
2025-07,114.92342018740996,116.08856921303862,114.3822883437756,112.28361024754668,0.5411318436343606,3.8049589654919487
2025-08,114.48957335309855,115.68566810202631,115.21957150819743,112.83446963545683,-0.7299981550988832,2.8511984665694854
2025-09,113.29303047409256,114.64179675557662,111.49715274248405,110.17232569592868,1.7958777316085133,4.469471059647944
2025-10,114.85138224767779,115.90164163739144,113.24797809478602,112.20880813544085,1.6034041528917697,3.692833501950588
2025-11,115.19717630826642,116.47113309788229,113.7954588540425,111.52159705487253,1.4017174542239275,4.949536043009758
2025-12,115.08545679100362,116.2341866786253,113.90223362857246,112.54702416882378,1.1832231624311618,3.6871625098015244
2026-01,114.96321687576072,115.80554861710719,114.48525294594987,113.00382323982767,0.4779639298108549,2.8017253772795243
2026-02,115.27521652557111,116.24762860103024,114.48548887465802,113.32283642629785,0.7897276509130933,2.9247921747323886
2026-03,114.82735868449892,115.27780615675607,114.77324495766115,114.85269312017925,0.054113726837769605,0.42511303657681765
2026-04,115.07621280499562,116.75227464236906,115.36078120076114,114.58399436308815,-0.2845683957655183,2.168280279280907
2026-05,115.3223918353742,117.03299983212672,115.69846806413415,115.96544301163334,-0.37607622875994196,1.0675568204933796
2026-06,116.18805484386303,118.13970852139168,117.9452020379915,114.3459181352221,-1.7571471941284784,3.793790386169576
2026-07,115.0392924820355,116.74550292002354,115.32926305020877,112.76640100988008,-0.28997056817325984,3.9791019101434557
