period,beta,se,lo,hi
2024-01-01,0.0,0.0,0.0,0.0
2024-02-01,0.0020019759034985503,0.002455743448845502,-0.002811281256238633,0.006815233063235733
2024-03-01,0.0004776724582422668,0.004105755544410886,-0.00756960840880307,0.008524953325287604
2024-04-01,-0.005454151758132499,0.008948146168321857,-0.02299251824804334,0.012084214731778342
2024-05-01,0.0008580783323535133,0.004185657466241988,-0.007345810301480783,0.00906196696618781
2024-06-01,0.0022748497068733825,0.004346277042715117,-0.006243853296848247,0.010793552710595011
2024-07-01,0.004441617168049506,0.0049649178187656665,-0.005289621756731201,0.014172856092830213
2024-08-01,0.008652111429395884,0.005070129607204847,-0.0012853426007256152,0.018589565459517385
2024-09-01,0.006959771603285699,0.006058878070551229,-0.00491562941499471,0.01883517262156611
2024-10-01,0.0092326738035905,0.008145854981655296,-0.006733201960453881,0.02519854956763488
2024-11-01,0.004184163843890545,0.005168155776104129,-0.005945421477273546,0.014313749165054637
2024-12-01,0.006440095241022109,0.006121645409124012,-0.005558329760860954,0.01843852024290517
2025-01-01,0.008437101891795468,0.004879800732981948,-0.0011273075448491494,0.018001511328440085
2025-02-01,0.011731801526573821,0.005569558942117714,0.0008154660000231021,0.022648137053124538
2025-03-01,0.019036714198854596,0.007711491192061401,0.003922191462414251,0.03415123693529494
2025-04-01,0.008768663051652014,0.008752823968045944,-0.008386871925718036,0.025924198029022065
2025-05-01,0.017426196625409434,0.008897422829290813,-1.2752120000559392e-05,0.03486514537081943
2025-06-01,0.012504136669126822,0.006808973096314639,-0.0008414505996498702,0.025849723937903517
2025-07-01,0.016231521691810046,0.007588157817761595,0.0013587323689973185,0.03110431101462277
2025-08-01,0.014137892075461095,0.00761261172357924,-0.0007828269027542155,0.029058611053676405
2025-09-01,0.017998706553054068,0.008069826348905983,0.002181846909198343,0.03381556619690979
2025-10-01,0.015450801458292977,0.007370647465240996,0.0010043324264206246,0.02989727049016533
2025-11-01,0.01879906320532981,0.008458533714467779,0.002220337124972962,0.03537778928568666
2025-12-01,0.023863833329728804,0.010264178545862696,0.003746043379837919,0.043981623279619686
2026-01-01,0.018645729665074513,0.008972606342624593,0.001059421233530311,0.036232038096618714
2026-02-01,0.022004851462728882,0.008441391061933062,0.005459724981340081,0.038549977944117686
2026-03-01,0.015137771040640001,0.01034956288982499,-0.005147372223416978,0.03542291430469698
2026-04-01,0.01781461854457624,0.008908529984430232,0.0003538997750929841,0.03527533731405949
2026-05-01,0.01698378803134876,0.008980178525736666,-0.000617361879095106,0.034584937941792626
2026-06-01,0.023520417830606342,0.011059158352531944,0.0018444674596437317,0.04519636820156896
2026-07-01,0.012390267144897365,0.008897338722673903,-0.005048516751543483,0.029829051041338213
