grp,m,b,se
conc_giant,2024-01,0.0,0.0
conc_giant,2024-02,0.0018967391609504003,0.00527177423940714
conc_giant,2024-03,0.011281601765147226,0.008935553646237224
conc_giant,2024-04,0.010811503161150225,0.013759242877565607
conc_giant,2024-05,0.005484284687393284,0.00860278059674647
conc_giant,2024-06,0.026652948686723354,0.01044551229112159
conc_giant,2024-07,0.04060469942990109,0.011401693702819597
conc_giant,2024-08,0.04073644772021393,0.010973016219456882
conc_giant,2024-09,0.045471668564483037,0.010958557026090549
conc_giant,2024-10,0.04081192888846665,0.011675707640876483
conc_giant,2024-11,0.04842860353782553,0.012163470000764655
conc_giant,2024-12,0.042926199926413174,0.012910981022631112
conc_giant,2025-01,0.05268595982746577,0.012890531971177364
conc_giant,2025-02,0.0644027995638958,0.014491764559876285
conc_giant,2025-03,0.06918832202763193,0.01595483674147494
conc_giant,2025-04,0.05099149773978206,0.01678621548097651
conc_giant,2025-05,0.04764097140928715,0.01640823545542843
conc_giant,2025-06,0.05615617990830846,0.01384749553514261
conc_giant,2025-07,0.06097204959749353,0.015697931033250276
conc_giant,2025-08,0.056405256248934686,0.016895700289696797
conc_giant,2025-09,0.05851987692503767,0.016811811300358803
conc_giant,2025-10,0.06964016278228621,0.016427591014400927
conc_giant,2025-11,0.062355948295016894,0.016051767488500547
conc_giant,2025-12,0.0723220765353762,0.016624500086967017
conc_giant,2026-01,0.05365807720910795,0.016163752596093914
conc_giant,2026-02,0.055816083438788085,0.017045512849980137
conc_giant,2026-03,0.05465769423909529,0.018943144106359534
conc_giant,2026-04,0.0482591519577399,0.019352801110286023
conc_giant,2026-05,0.03772620336711176,0.017162342011869183
conc_giant,2026-06,0.04884779724811245,0.016457782674323684
conc_giant,2026-07,0.03801390751037667,0.01753600525170308
conc_nogiant,2024-01,0.0,0.0
conc_nogiant,2024-02,0.017045951963339745,0.009322573343546865
conc_nogiant,2024-03,-0.00032075757878079376,0.019082504482416655
conc_nogiant,2024-04,-0.0036171051816735605,0.022863126838935814
conc_nogiant,2024-05,0.009249387578386671,0.018832332739876733
conc_nogiant,2024-06,0.01121640268470575,0.017339825902601573
conc_nogiant,2024-07,0.025341630994442924,0.01746465959745863
conc_nogiant,2024-08,0.02903332811618113,0.01866774525324936
conc_nogiant,2024-09,0.0172040980132543,0.01963452096167621
conc_nogiant,2024-10,0.051366197408736936,0.0404407974409412
conc_nogiant,2024-11,0.003942201542197252,0.020872704388437528
conc_nogiant,2024-12,0.002994320481062032,0.023231925795774263
conc_nogiant,2025-01,0.01165019841889825,0.015796661304374727
conc_nogiant,2025-02,0.020713033377184414,0.018943697186143166
conc_nogiant,2025-03,0.04531574984742266,0.031876896573492235
conc_nogiant,2025-04,0.015904883404000952,0.023948867228657397
conc_nogiant,2025-05,0.04667167748406795,0.03840408919959806
conc_nogiant,2025-06,0.023238331189484845,0.02258070142764598
conc_nogiant,2025-07,0.04641790722844398,0.024903231017167033
conc_nogiant,2025-08,0.03990917504383905,0.02245894042264995
conc_nogiant,2025-09,0.046468862013576154,0.024803567306632978
conc_nogiant,2025-10,0.029092048823415317,0.022872518764781122
conc_nogiant,2025-11,0.05326504380634507,0.030393234578820143
conc_nogiant,2025-12,0.05857351551243241,0.03736481686608908
conc_nogiant,2026-01,0.06901549748536898,0.033271468418843424
conc_nogiant,2026-02,0.06913068413363793,0.03265933809762576
conc_nogiant,2026-03,0.04348612008477534,0.03480550702916118
conc_nogiant,2026-04,0.07348729558077688,0.032107401780087155
conc_nogiant,2026-05,0.0665458728968835,0.03439415338519559
conc_nogiant,2026-06,0.10996473620169228,0.05105294222516587
conc_nogiant,2026-07,0.05541671413082619,0.03195134865385857
less_giant,2024-01,0.0,0.0
less_giant,2024-02,0.010292695417722639,0.006304183453227761
less_giant,2024-03,0.013762442240178897,0.010271221712163596
less_giant,2024-04,0.033734643282735136,0.01841004671083891
less_giant,2024-05,0.017547639254984655,0.009884819844019496
less_giant,2024-06,0.025228514174009675,0.011401405515607801
less_giant,2024-07,0.03550811000506878,0.012874360728487431
less_giant,2024-08,0.03469023577576261,0.011326560556337033
less_giant,2024-09,0.027582353044654416,0.015480933064936132
less_giant,2024-10,0.03901528847613982,0.014597122613379549
less_giant,2024-11,0.02597944816766392,0.012994348953315747
less_giant,2024-12,0.011323536036197568,0.015015540910560737
less_giant,2025-01,0.015575740459897609,0.01356388362177359
less_giant,2025-02,0.03615585017525104,0.014649572453779814
less_giant,2025-03,0.033600097823902705,0.017121715739713446
less_giant,2025-04,0.028161735168128102,0.021389601442550966
less_giant,2025-05,0.008530986608845484,0.018863114571589616
less_giant,2025-06,0.02143625489271299,0.017279888276921822
less_giant,2025-07,0.01128061677330662,0.021428234012464173
less_giant,2025-08,0.015691447827380203,0.018867393573815856
less_giant,2025-09,0.0016982863960295692,0.021358864546613055
less_giant,2025-10,0.025280340259005746,0.018247613892480863
less_giant,2025-11,0.005473611359631789,0.01733393154139857
less_giant,2025-12,0.02336360821425655,0.01940257889488606
less_giant,2026-01,0.01917181712928328,0.019383778694060334
less_giant,2026-02,0.022602211565433128,0.019685848410312845
less_giant,2026-03,0.03021393917810098,0.023281289044106257
less_giant,2026-04,0.03131452448624751,0.020870682607391874
less_giant,2026-05,0.01673233926544262,0.020912914321623458
less_giant,2026-06,0.023303036188414575,0.020403384686739325
less_giant,2026-07,0.00867749875444656,0.021289029526341666
