yr,ctg,rev,n_named,bucket_pct,cr3
2024,פסטה,334.45,59,16.09,64.13
2023,נקניקיות מן הצומח,39.2,6,,99.58
2024,תחליפי חלב אם צמחי,24.74,2,,100.0
2022,חומץ/מיץ לימון,83.16,38,7.5,72.18
2023,חרוסת,1.88,7,0.35,73.25
2022,מגבונים לחים,381.17,29,35.97,48.89
2022,אורז,319.62,39,11.73,73.36
2022,פתיתים,71.94,14,11.74,85.07
2022,פירות ים קפואים,41.17,11,41.85,47.99
2022,מרכך שיער,128.59,15,2.08,73.37
2022,יין לבן,136.73,23,0.76,71.7
2022,עוגיות בייסיק,364.25,140,15.52,27.57
2022,תכשירי הגנה מהשמש למבוגרים,35.38,8,16.66,80.63
2022,בעלי כנף קפואים,2.3,4,1.63,92.24
2026,אורז,216.97,34,17.6,67.37
2026,פירות ים קפואים,27.12,10,48.8,40.52
2026,שמפו לגבר,1.39,2,39.48,60.52
2026,קרם פנים,10.29,8,16.25,74.5
2026,יינות תירוש,116.15,14,34.1,49.94
2026,עוגיות בייסיק,247.44,105,11.74,28.69
2026,משקה קולה דיאט,389.15,6,0.22,99.77
2026,תה קר,98.2,6,0.01,99.45
2026,סלט חצילים,43.66,12,13.44,81.25
2026,רוזמרין,2.07,4,65.39,33.14
2025,אבקות תה,0.05,1,99.43,0.57
2023,טרגון,1.89,2,,100.0
2022,בירה ללא אלכוהול,6.61,9,,89.2
2026,בירה לבנה בקבוק חוזר,43.97,2,,100.0
2026,דייסות,10.04,3,,100.0
2024,פופ קורן למיקרו,58.35,5,18.27,81.06
2024,קרקרים,203.69,21,5.57,87.85
2024,אשל לבן שמנת,326.72,11,,99.26
2024,גבינות צהובות מדף,895.68,10,13.39,81.77
2024,מוצרלה טרייה,61.48,10,0.18,95.03
2024,מעדני חלב לפעוטות,110.85,3,,100.0
2025,אטריות,43.71,13,7.17,78.53
2025,בשר בקר קפוא,344.18,39,27.81,36.96
2025,דגנים,621.84,37,5.26,88.91
2025,דאודורנט לגברים,177.66,15,4.19,68.21
2025,חטיפים אפויים,164.73,39,6.11,80.44
2025,עוגות אישיות,98.22,45,10.7,55.49
2025,יוגורט,1261.29,25,0.19,95.46
2025,תכשיר הגנה מהשמש לפנים,20.87,5,24.81,74.27
2025,חטיפים מן הצומח,50.23,8,6.36,84.5
2025,שניצל  מן הצומח,130.6,8,5.85,93.3
2025,מסטיקים ללא סוכר,268.81,5,0.58,99.34
2025,מסטיקים עם סוכר,7.61,5,0.67,98.51
2025,משקאות וודקה,205.22,22,13.71,55.29
2025,סוכריות לעיסות,71.38,18,3.7,66.95
2025,נענע,31.85,14,28.13,46.27
2025,עירית,4.31,7,25.2,52.49
2025,קפה טורקי,344.16,10,6.64,90.33
2025,קפה נמס,551.75,10,2.77,93.75
2025,קצביה טרי ארוז,6.86,2,40.91,59.09
2025,חלקי פנים הודו טרי,3.56,3,70.49,29.51
2025,קטשופ,145.25,6,0.89,98.95
2025,ריבות/קונפיטורות,74.58,26,6.41,63.85
2025,שימורי זיתים ירוקים/מיקס,192.19,15,19.69,65.95
2025,תה פירות,0.87,9,1.82,66.94
2022,נקניקים מן הצומח,1.08,1,,100.0
2022,מסטיקים ללא סוכר,240.61,4,1.17,98.77
2022,מים מוגזים,41.42,4,2.13,97.78
2022,משקאות קלים,391.27,35,0.6,93.37
2022,סוכריות גומי,74.14,35,12.12,67.88
2022,סוכריות מרעננות,17.77,6,,91.51
2022,סוכריות קשות,46.78,33,10.92,66.72
2022,סלרי ראש,8.43,10,11.45,57.86
2022,עירית,3.17,10,20.16,46.38
2022,עלי בייבי,6.82,14,29.85,44.0
2024,קמח,370.05,75,33.78,27.87
2024,שימורי מלפפונים,221.66,38,17.53,68.16
2024,קצפות,9.13,2,,100.0
2024,חרדל,42.29,21,7.11,77.95
2023,דאודורנט נשים,168.4,17,3.24,75.46
2023,היגיינת מבוגרים,99.13,10,27.91,65.99
2023,היגיינת השיער,3.09,4,13.19,77.23
2023,יינות מתוקים,39.03,10,3.54,80.39
2023,ירקות קפואים,676.07,33,29.64,52.83
2023,פיתות ארוזות,474.13,65,16.23,34.2
2023,פתי בר,151.82,21,24.8,67.53
2023,סכיני/מכשיר גילוח גברים,62.93,6,9.21,89.29
2023,מעדנים,619.45,8,0.18,97.46
2023,משקאות תחליפי חלב עמיד,109.12,17,9.78,85.71
2023,נקניקיות מצוננות,243.8,13,9.09,84.46
2023,סוכריות מרשמלו,24.27,12,18.24,76.16
2023,בזיליקום,23.3,20,36.09,23.79
2023,תחליף קפה,1.55,5,,93.8
2023,בשר בקר חלקי פנים,8.03,2,90.18,9.82
2023,נתחים קדמי מופשר,56.38,7,76.69,20.54
2023,דגי פילה טריים,264.0,9,67.67,31.29
2023,דגים טריים סטנדרט,56.48,11,30.29,63.83
2023,טבלאות שוקולד לבן בודד,39.37,22,11.34,75.59
2023,שמנים רגילים,618.82,65,36.11,39.46
2023,בירה לבנה באריזה,328.97,14,2.58,89.76
2023,דגים קפואים בואקום,980.2,41,27.06,34.74
2023,מים מועשרים,123.83,8,0.77,97.45
2024,קציצות מן הצומח,43.63,11,3.53,76.12
2024,סלק עלים,20.32,15,20.61,54.25
2024,חומרים למדיח,193.4,14,2.61,96.32
2024,מרכך כביסה,380.83,19,9.19,80.9
2024,תכשירי טיפוח וניקוי תינוקות,116.74,24,47.64,25.45
2024,רוקט,5.39,7,43.75,44.36
2022,נתחים קדמי טרי,769.08,28,73.52,18.95
2022,תה ירוק,89.94,26,9.8,79.07
2022,מוצרי בשר על האש,287.27,29,9.61,64.02
2026,אטריות,23.22,13,6.18,77.12
2026,קטניות,120.71,30,21.4,65.71
2026,חטיפים מתוקים,528.85,44,0.4,81.0
2026,בשר בקר קפוא,193.92,37,30.39,40.52
2026,בשר ועוף מעובד,64.02,14,31.14,53.56
2026,יין רוזה,28.04,15,8.73,42.55
2026,עוגות אישיות,60.73,40,7.5,56.88
2026,עוגיות פרימיום,359.43,54,0.42,70.12
2026,חמאה,255.82,17,0.89,86.33
2026,יוגורט,752.9,24,0.26,94.41
2026,גבינות מלוחות במשקל,135.14,16,2.26,72.06
2026,גבינות רכות מעדניה,13.35,6,32.21,58.18
2026,מים מוגזים,23.34,4,1.08,98.71
2026,משקאות מוגזים טעמי פירות,106.43,13,,98.83
2026,משקאות קלים,200.96,33,0.38,93.94
2026,תכשירים לפתיחת סתימות,7.39,4,27.55,69.58
2026,סבון רחצה לגבר,31.06,11,7.25,73.68
2026,ממרחים מצוננים,57.11,35,5.71,59.39
2026,סלט חומוס חלק,103.66,13,9.58,87.83
2026,שיבה,0.31,4,34.01,61.6
2026,נתחים קדמי טרי,600.74,23,74.96,18.13
2026,בשר טחון מופשר,10.12,2,64.94,35.06
2026,דגים טריים פרימיום,170.77,9,62.41,31.71
2026,דבש,70.85,16,33.8,59.44
