sample,weighted,control,measure,term,coef_pct,se_pct,p_coef,F,p_joint
פאנל מלא,False,False,CR3 ללא מאגדים,ריכוזיות,0.8854957970648466,0.6404708012472501,0.1667967140637402,1.621655691341717,0.054097157159058544
פאנל מלא,False,False,CR3 ללא מאגדים,ענקיות,-1.8323875110100405,1.1982004944484461,0.12619433020731963,1.7240483628755199,0.034932085785429445
פאנל מלא,False,False,CR3 עם מאגדים,ריכוזיות,0.98816138629449,0.5324956490051583,0.06349386407536045,0.9977547341568366,0.46228351549330604
פאנל מלא,False,False,CR3 עם מאגדים,ענקיות,-1.6141513928169569,1.0586181977872562,0.12731597460891084,1.802979915374001,0.02464401223014067
פאנל מלא,False,False,HHI,ריכוזיות,0.7455065619236145,0.364323531263193,0.04072920641999869,1.5120415660187292,0.08457678869806251
פאנל מלא,False,False,HHI,ענקיות,-1.474133425435289,0.9752573107270102,0.13065275522710362,1.8529147807619277,0.01966851861828934
פאנל מלא,False,True,CR3 ללא מאגדים,ריכוזיות,0.8604094796190426,0.6433417394738594,0.18108995572974707,1.604919767792693,0.058003694111381406
פאנל מלא,False,True,CR3 ללא מאגדים,ענקיות,-1.8377073830748083,1.200647875791657,0.1258691582713152,1.7174076434948402,0.035956497613497264
פאנל מלא,False,True,CR3 ללא מאגדים,ייבוא,0.47625949072448404,0.47031584632564694,0.3112333127132523,1.6519308037468468,0.047624863262447074
פאנל מלא,False,True,CR3 עם מאגדים,ריכוזיות,1.025301129331696,0.5417231595198669,0.05840227020366734,0.9686175425528742,0.4963075223237632
פאנל מלא,False,True,CR3 עם מאגדים,ענקיות,-1.6550578314212003,1.0633650797405683,0.11960486587963208,1.7793854227142927,0.02738028570396882
פאנל מלא,False,True,CR3 עם מאגדים,ייבוא,0.5799145327996328,0.4761484385075009,0.22325132090786226,1.6305605361538635,0.052116045463236324
פאנל מלא,False,True,HHI,ריכוזיות,0.7708678004042623,0.3637948915171516,0.03409362054214202,1.4913771438317012,0.09176165720648935
פאנל מלא,False,True,HHI,ענקיות,-1.5076138063788147,0.9773882119357133,0.12295400383049752,1.8281619803179108,0.022004657254422754
פאנל מלא,False,True,HHI,ייבוא,0.551176943802575,0.47373536100529057,0.2446388088433632,1.6477729876546319,0.04847034422766143
פאנל מלא,True,False,CR3 ללא מאגדים,ריכוזיות,0.19017983482436993,0.7448855788392845,0.7984804652466571,3.921353184042353,3.411908565979846e-07
פאנל מלא,True,False,CR3 ללא מאגדים,ענקיות,-0.46302824118849395,1.4774433190698764,0.7539780670637946,1.3169359332229205,0.17569264476315494
פאנל מלא,True,False,CR3 עם מאגדים,ריכוזיות,0.31352749330877805,0.545140953473924,0.5652026645364026,3.147217580451366,2.561046884611193e-05
פאנל מלא,True,False,CR3 עם מאגדים,ענקיות,-0.494667091529469,1.1885267490161164,0.6772622693000494,1.3264181612008425,0.1699230836059014
פאנל מלא,True,False,HHI,ריכוזיות,0.6197663154098586,0.4833809002157438,0.19979039903593998,2.5645196149550866,0.0005867966431588316
פאנל מלא,True,False,HHI,ענקיות,-0.6085562134193492,1.0970319256552281,0.5790795443361388,1.469268271935411,0.10002468891699057
פאנל מלא,True,True,CR3 ללא מאגדים,ריכוזיות,0.20867917432957828,0.7378416839705618,0.7773119242092956,3.947196928882933,2.949172811553704e-07
פאנל מלא,True,True,CR3 ללא מאגדים,ענקיות,-0.46465889644556224,1.485574394784019,0.7544473318785742,1.1921682479672349,0.2663931605520993
פאנל מלא,True,True,CR3 ללא מאגדים,ייבוא,0.14877819793416863,0.46454787902640293,0.7487678258035906,4.3530865421412495,2.971619234101023e-08
פאנל מלא,True,True,CR3 עם מאגדים,ריכוזיות,0.35221722834409386,0.5422496773594914,0.5159841899055149,3.212262335135455,1.790764194779609e-05
פאנל מלא,True,True,CR3 עם מאגדים,ענקיות,-0.500035822706409,1.1930922945300424,0.6751364096492183,1.2342242938577987,0.23267592530556475
פאנל מלא,True,True,CR3 עם מאגדים,ייבוא,0.1930988229692404,0.47105858172093096,0.6818607571821113,4.612115621335512,6.850242787294479e-09
פאנל מלא,True,True,HHI,ריכוזיות,0.7133811643983093,0.4861375678187347,0.14225446958782345,2.0743077968751615,0.006958342522571518
פאנל מלא,True,True,HHI,ענקיות,-0.6246099793837252,1.097322684145726,0.5692118205951797,1.3959109833892123,0.13211261855386844
פאנל מלא,True,True,HHI,ייבוא,0.29203721646991637,0.4845997910571689,0.5467509527368022,4.625783009100645,6.339844456866481e-09
ללא בשר ועוף,False,False,CR3 ללא מאגדים,ריכוזיות,1.2427608172766684,0.6972881862944164,0.07470404331981911,1.256042416416372,0.21738499308108905
ללא בשר ועוף,False,False,CR3 ללא מאגדים,ענקיות,-1.8531888028233527,1.2988373109842684,0.15363583580518983,1.8612009759895796,0.01937005365468095
ללא בשר ועוף,False,False,CR3 עם מאגדים,ריכוזיות,1.0656596022499984,0.5875962190674846,0.06974061541372752,1.0137804967130684,0.4443718727118242
ללא בשר ועוף,False,False,CR3 עם מאגדים,ענקיות,-1.4747944324788724,1.1741404603680763,0.20909311617032578,1.8892809457272743,0.017051457230208986
ללא בשר ועוף,False,False,HHI,ריכוזיות,0.7510988449752273,0.39306352365229463,0.056019474405158066,1.244405610800599,0.22591544053610318
ללא בשר ועוף,False,False,HHI,ענקיות,-1.2949111780913194,1.071982399145068,0.22706289297907323,1.8706998310219132,0.01855458585194095
ללא בשר ועוף,False,True,CR3 ללא מאגדים,ריכוזיות,1.3061549971113258,0.7139228215574923,0.06731778047426545,1.2722104035332786,0.20593581558827617
ללא בשר ועוף,False,True,CR3 ללא מאגדים,ענקיות,-1.9143713232200563,1.307257802482706,0.1430798843338114,1.8618497597388612,0.01931330743712726
ללא בשר ועוף,False,True,CR3 ללא מאגדים,ייבוא,0.7254096699776619,0.5092981616325089,0.15435038794599815,1.9470895674931552,0.013073378847003162
ללא בשר ועוף,False,True,CR3 עם מאגדים,ריכוזיות,1.125886193683444,0.5996993654870248,0.06046086967626404,0.9930920290991069,0.46800774856127947
ללא בשר ועוף,False,True,CR3 עם מאגדים,ענקיות,-1.5187936518969227,1.1778542814422408,0.1972389011015394,1.879843332503182,0.0178000557036355
ללא בשר ועוף,False,True,CR3 עם מאגדים,ייבוא,0.7144987906814165,0.5031688033772347,0.1556082076364552,1.918880739622769,0.01489066551457708
ללא בשר ועוף,False,True,HHI,ריכוזיות,0.7899772371447868,0.39200059906644047,0.04387898730984129,1.219988547908576,0.24461150449562707
ללא בשר ועוף,False,True,HHI,ענקיות,-1.3262700727940822,1.0729666790325172,0.2164297219271346,1.8560528812511758,0.01982588743351949
ללא בשר ועוף,False,True,HHI,ייבוא,0.6682108604600124,0.5003083052192954,0.1816806462760966,1.9289203853669044,0.014218215121614941
ללא בשר ועוף,True,False,CR3 ללא מאגדים,ריכוזיות,0.8806852951787538,0.8798179251960939,0.3168336485428679,2.825518828623183,0.0001590229709666099
ללא בשר ועוף,True,False,CR3 ללא מאגדים,ענקיות,-0.3777634918506861,1.5982434873115392,0.8131520403315626,1.8344687618484758,0.021848193374405286
ללא בשר ועוף,True,False,CR3 עם מאגדים,ריכוזיות,0.5434792156937946,0.6559585787697217,0.4073722639543562,2.536776300597526,0.0007189876663789557
ללא בשר ועוף,True,False,CR3 עם מאגדים,ענקיות,0.12732646719864507,1.3259111315438392,0.9234972125824221,1.7015672198041714,0.03914574579696586
ללא בשר ועוף,True,False,HHI,ריכוזיות,0.760787098344359,0.5686854239431122,0.18096179201057638,2.412088813553523,0.0013592174485765067
ללא בשר ועוף,True,False,HHI,ענקיות,0.07355056226592789,1.2353925684785616,0.952525043982324,1.5671347282542216,0.0685715057079746
ללא בשר ועוף,True,True,CR3 ללא מאגדים,ריכוזיות,1.2210465093101066,0.9101391148072889,0.17972434574270946,2.5050479641144756,0.0008462737801755108
