weighted,term,month,b,se
False,ריכוזיות,2025-02,0.19857779704222644,0.4095295881492461
False,ריכוזיות,2025-03,1.0961559041248015,0.7156818336619295
False,ריכוזיות,2025-04,0.1125879227440188,0.8003901482869555
False,ריכוזיות,2025-05,1.3449770795662896,0.8330619003041523
False,ריכוזיות,2025-06,0.5371135775282754,0.6087661636372494
False,ריכוזיות,2025-07,0.9698054147946265,0.5970226509472187
False,ריכוזיות,2025-08,0.8515113977993358,0.6543432955595461
False,ריכוזיות,2025-09,1.3934593690073644,0.7764949331569023
False,ריכוזיות,2025-10,1.0576222716828065,0.6777056044515593
False,ריכוזיות,2025-11,1.829352959789185,0.9278519877023692
False,ריכוזיות,2025-12,1.393495341622733,1.0053832972766574
False,ריכוזיות,2026-01,1.1807365881869618,0.8982562208518526
False,ריכוזיות,2026-02,1.9646032023909576,0.8398418333491425
False,ריכוזיות,2026-03,0.8963501015948117,1.0398817751352354
False,ריכוזיות,2026-04,1.1645538475953343,0.9898324379215246
False,ריכוזיות,2026-05,1.4726062334127095,1.0775187849352936
False,ריכוזיות,2026-06,1.9541924045843817,1.2537558788363277
False,ריכוזיות,2026-07,0.848250072839418,0.9238382274570427
False,ענקיות,2025-02,1.0252375504604103,0.6667862976170817
False,ענקיות,2025-03,-0.3841890102547499,1.5755351470328343
False,ענקיות,2025-04,0.1610460617911494,1.1946569573804298
False,ענקיות,2025-05,-2.7851884238259546,2.1376094547946844
False,ענקיות,2025-06,-0.3631393944341865,1.4333794876043695
False,ענקיות,2025-07,-0.8608886184486852,1.2851909730186026
False,ענקיות,2025-08,-1.2000299780764279,1.3775930210861937
False,ענקיות,2025-09,-2.421868552167904,1.4495203993464836
False,ענקיות,2025-10,0.03489024602983115,1.391340929071499
False,ענקיות,2025-11,-2.2151361722435037,1.715771875849476
False,ענקיות,2025-12,-0.6258642773309342,1.7317323296682297
False,ענקיות,2026-01,-1.780624430354083,1.6091336578985636
False,ענקיות,2026-02,-2.590357233926144,1.7038347691753022
False,ענקיות,2026-03,-1.0234046904079086,1.7990941582847881
False,ענקיות,2026-04,-1.9673491095563045,1.8544017031084425
False,ענקיות,2026-05,-3.414968149188259,2.04680365605408
False,ענקיות,2026-06,-4.236438507056228,2.858377059300601
False,ענקיות,2026-07,-2.6900130451494397,1.7978363388707883
False,ייבוא,2025-02,0.36552867884715073,0.2389875962004276
False,ייבוא,2025-03,0.21441700311462808,0.8753773774379577
False,ייבוא,2025-04,1.2465890278946148,0.5294161103866112
False,ייבוא,2025-05,0.2490584551317454,1.2413649512042073
False,ייבוא,2025-06,0.4792366281056587,0.6930874627602648
False,ייבוא,2025-07,0.40086442252735555,0.5727923001729395
False,ייבוא,2025-08,0.6911302724535995,0.6230387991602343
False,ייבוא,2025-09,1.1651763867388378,0.6426136111528651
False,ייבוא,2025-10,1.3284035720306495,0.7481393154837065
