month,high,high_w,low,low_w,gap,gap_w
2022-01,100.0,100.0,100.0,100.0,0.0,0.0
2022-02,100.11086417461333,99.42723003014619,100.23983277303694,99.80876262954635,-0.12896859842361152,-0.3815325994001597
2022-03,99.99973172338808,98.99851398814725,99.58519071287606,100.07216932523568,0.41454101051202485,-1.0736553370884252
2022-04,100.77166342111413,99.67194897796962,102.25014509437051,103.84564254420827,-1.4784816732563826,-4.173693566238654
2022-05,100.0443787061403,99.31155105690513,102.18839584188488,102.66379294964875,-2.1440171357445905,-3.3522418927436206
2022-06,101.15974653216486,100.04848923214693,102.81354441090795,103.28967975699132,-1.6537978787430916,-3.2411905248443844
2022-07,101.77722689099215,100.46764023537453,103.65875774759704,103.42503238932382,-1.8815308566048827,-2.957392153949286
2022-08,101.93335671992627,100.38301957391337,103.76428480798565,103.4007351152707,-1.8309280880593803,-3.017715541357333
2022-09,101.78092254465145,100.22734843006668,102.88164181174417,102.76731468307861,-1.1007192670927282,-2.539966253011926
2022-10,102.86211463323932,101.9056913307991,104.59526987874743,105.10849693084505,-1.7331552455081152,-3.2028056000459486
2022-11,102.5625027633657,102.02103911754628,103.82781578020317,104.15750024193089,-1.2653130168374673,-2.13646112438461
2022-12,104.6713636627139,102.83469406107957,104.58764053297807,104.73063459085753,0.08372312973583007,-1.8959405297779597
2023-01,104.9789365336609,103.8049714879942,104.57346222414658,104.8965559107188,0.40547430951431807,-1.0915844227246083
2023-02,105.66611937301636,104.34782661037335,104.2597834086638,104.81692435765511,1.4063359643525644,-0.469097747281765
2023-03,105.32961557799922,103.92049299870084,105.81564065142885,106.52878758574198,-0.4860250734296301,-2.6082945870411436
2023-04,105.02597379037239,103.4212805609219,108.1630183719081,108.75649397109801,-3.1370445815357044,-5.3352134101761095
2023-05,103.02192140771038,102.4903617020277,105.68196509516783,105.2468072545891,-2.6600436874574456,-2.7564455525614022
2023-06,105.3939926966897,104.7512843451168,106.59777640370474,105.6848546839082,-1.2037837070150488,-0.9335703387913981
2023-07,105.67632765820365,105.77843556643994,107.23835772940637,106.4753751900717,-1.5620300712027273,-0.6969396236317635
2023-08,104.94711141234494,105.27784511409241,106.40709274259954,105.32251647658532,-1.4599813302546067,-0.04467136249290604
2023-09,104.86610046433962,104.84070378365216,106.02016333775555,105.26692346627296,-1.1540628734159242,-0.4262196826207969
2023-10,105.80190395928133,106.52856754261803,108.41269912626626,107.6693541931569,-2.6107951669849285,-1.140786650538871
2023-11,106.46130079601426,106.49721229346834,108.25014162474933,108.2447862985414,-1.7888408287350757,-1.7475740050730622
2023-12,107.0820732783254,107.16300031112509,109.11874471918621,109.2488185980863,-2.0366714408608146,-2.0858182869612136
2024-01,106.47978998396026,106.5858222012971,108.83230188537037,109.2965396812209,-2.352511901410111,-2.710717479923801
2024-02,107.986631299929,107.59990671594353,110.14003402164944,110.46974903694182,-2.1534027217204397,-2.8698423209982877
2024-03,108.75412390930607,108.15671101821778,110.33552985957394,111.26920987817235,-1.5814059502678646,-3.11249885995457
2024-04,109.41540831260481,108.10044891911399,112.5955814675133,114.13935164692195,-3.1801731549084877,-6.038902727807965
2024-05,109.05154182386975,108.73934644860299,111.59621056558751,111.92370199891857,-2.544668741717757,-3.184355550315587
2024-06,109.85817900726869,110.06155542575205,111.64900597801271,112.48777425162308,-1.7908269707440212,-2.4262188258710324
2024-07,110.7838007949818,111.20318093389257,111.70229055092402,112.1259491516591,-0.9184897559422183,-0.9227682177665315
