measure,spec,term,phase,b,se,pc,F,pj
CR3 עם מאגדים,ענקיות — ≥50%,ריכוזיות,2025-2026,2.071912266511161,2.1030596473738608,0.3245310009723601,3.022050228418663,3.991528704174171e-05
CR3 עם מאגדים,ענקיות — ≥50%,ענקיות,כל התקופה,0.17368110818257965,1.2902897658089916,0.8929231744344872,3.534019016806391,7.735594918653754e-12
CR3 עם מאגדים,ענקיות — ≥50%,ענקיות,2023-2024,-0.45037682078657604,1.5319537013606646,0.7687666659847754,2.475032962369879,0.0002572919228228109
CR3 עם מאגדים,ענקיות — ≥50%,ענקיות,2025-2026,1.0716581394168256,1.9051379508367943,0.5737689531513969,1.0397203712907206,0.4157519036221074
HHI,בלי ענקיות,ריכוזיות,כל התקופה,0.612748867163976,1.1266897943062308,0.586545539811435,7.249209463261509,1.5585124354075205e-28
HHI,בלי ענקיות,ריכוזיות,2023-2024,0.2936998127270463,1.3500519605364714,0.8277820492300485,5.240656089782283,2.3743953013965537e-12
HHI,בלי ענקיות,ריכוזיות,2025-2026,1.402757483608923,1.6030858191595128,0.3815544264065607,3.8702237159530255,3.244864877719792e-07
HHI,ענקיות — נוכחות,ריכוזיות,כל התקופה,0.29261628222960445,1.025183075342964,0.7753160137979942,5.591375022888941,1.5900512182865616e-21
HHI,ענקיות — נוכחות,ריכוזיות,2023-2024,-0.014147840197211695,1.2338505057574551,0.9908513261115541,4.15483297587563,3.548082138589703e-09
HHI,ענקיות — נוכחות,ריכוזיות,2025-2026,0.8649180888084899,1.4732044613917339,0.5571366617594895,4.416271756746347,1.4086409552083195e-08
HHI,ענקיות — נוכחות,ענקיות,כל התקופה,3.144137971796152,1.4598717140756732,0.031263047081186233,4.796695153636052,6.652409416602809e-18
HHI,ענקיות — נוכחות,ענקיות,2023-2024,3.0234832086393313,1.5935269037400546,0.0577813513137186,3.638218623901842,1.1765462067301061e-07
HHI,ענקיות — נוכחות,ענקיות,2025-2026,5.2823153390233895,2.3507888237715577,0.024637502931806585,2.1117505120505164,0.0051595828053841745
HHI,ענקיות — ≥20%,ריכוזיות,כל התקופה,0.10674334962961092,0.9305050006213156,0.9086706250621936,4.309599827168471,1.327746386957717e-15
HHI,ענקיות — ≥20%,ריכוזיות,2023-2024,-0.06536621757532327,1.111615979300763,0.9531091170043109,2.789980244579739,3.3898818782282e-05
HHI,ענקיות — ≥20%,ריכוזיות,2025-2026,0.3915617606019129,1.339678114343211,0.7700721831999557,3.935142707989122,2.2359167379175334e-07
HHI,ענקיות — ≥20%,ענקיות,כל התקופה,2.1996138108623056,1.1834321278158462,0.06307344676400717,5.723532190560608,4.126951963144372e-22
HHI,ענקיות — ≥20%,ענקיות,2023-2024,1.560865587223031,1.3502465042956129,0.2476870253582758,2.7697445542274592,3.8683585578414137e-05
HHI,ענקיות — ≥20%,ענקיות,2025-2026,4.395683447582841,1.842978712045686,0.017074607245595272,2.81525635803049,0.00012544712757072476
HHI,ענקיות — ≥50%,ריכוזיות,כל התקופה,0.14811289862113747,1.2129477913979934,0.9028120042711663,4.152884197024325,7.496826146689155e-15
HHI,ענקיות — ≥50%,ריכוזיות,2023-2024,-0.046534741302107344,1.455295648439459,0.9744910765462498,2.2787655503670705,0.0008757218170670434
HHI,ענקיות — ≥50%,ריכוזיות,2025-2026,0.48752859028490075,1.7254821560489224,0.7775246536672713,2.1847600162361513,0.003571640476042684
HHI,ענקיות — ≥50%,ענקיות,כל התקופה,1.4455747946565716,0.9889700674110874,0.14382420038293373,3.4068092544221975,3.269135561907843e-11
HHI,ענקיות — ≥50%,ענקיות,2023-2024,1.0585372826772383,1.1318396752951136,0.3496666567921105,2.0797293027347985,0.002911215923881284
HHI,ענקיות — ≥50%,ענקיות,2025-2026,2.8474588906240905,1.5438832410128345,0.0651323533090762,1.0892875526079364,0.3619890016425203
