month,high,high_w,low,low_w,gap,gap_w
2022-01,100.0,100.0,100.0,100.0,0.0,0.0
2022-02,99.96589252460079,99.30151083460802,99.96951045507835,99.49391979171587,-0.003617930477560094,-0.192408957107844
2022-03,99.45847809538306,98.84297900500228,99.14828611198567,99.42987544163574,0.31019198339738807,-0.5868964366334666
2022-04,100.54943013910133,99.544880713043,100.77467171354171,102.89894312306143,-0.22524157444037485,-3.354062410018429
2022-05,99.64700302126103,99.02187665179127,101.15276900978371,101.61069906481623,-1.5057659885226826,-2.588822413024957
2022-06,100.83786297581965,99.77448102364053,102.16627308804158,102.71157533611925,-1.3284101122219312,-2.9370943124787203
2022-07,101.39102178032368,100.08091249396387,103.02223967293034,103.00668804092598,-1.6312178926066565,-2.9257755469621145
2022-08,101.4941137296021,100.18377800473371,103.20165656140345,102.77724148684797,-1.707542831801348,-2.5934634821142595
2022-09,101.38903554956491,100.18042774020405,101.70457443832663,101.43127039325151,-0.3155388887617221,-1.2508426530474566
2022-10,102.52326687971009,101.67183589927838,103.35705102517802,103.85440962236908,-0.8337841454679307,-2.182573723090698
2022-11,103.07784927436035,102.01087422586438,103.3312199048769,103.76627841631887,-0.2533706305165566,-1.7554041904544846
2022-12,105.21042921871617,102.66739073156205,104.03076410135934,104.63257426027977,1.1796651173568335,-1.9651835287177164
2023-01,105.40224104967216,103.57775474955506,103.96605449339162,104.4891321555548,1.436186556280532,-0.9113774059997439
2023-02,105.99997655176804,104.20664783073616,103.19144239334508,103.73107846500096,2.808534158422958,0.4755693657351969
2023-03,105.19310929633197,103.48828926121763,104.28638753733455,104.95324404771509,0.9067217589974206,-1.464954786497458
2023-04,104.28335600947636,102.93502689508773,106.56232326617068,106.77629855532925,-2.2789672566943153,-3.8412716602415173
2023-05,102.57802080740007,101.99452666172084,104.64224063965268,104.02625304408875,-2.0642198322526184,-2.031726382367907
2023-06,105.02307945657469,104.23807879481144,105.59484165239736,104.22447461695941,-0.5717621958226715,0.01360417785203083
2023-07,105.42971058527004,105.43063708948415,106.44081415595596,105.2092871101925,-1.0111035706859184,0.22134997929164513
2023-08,104.8478079989311,104.87804010474551,105.0697610766411,103.66382259116811,-0.22195307770999761,1.2142175135773954
2023-09,104.62349485493338,104.40270515597983,104.5044383840211,103.37477559171117,0.11905647091228388,1.0279295642686606
2023-10,105.8017339069319,105.99043798609988,107.55397319260067,106.16565639723625,-1.7522392856687645,-0.17521841113637038
2023-11,105.94255137479716,105.78540703560499,107.66273845296494,107.08988170575142,-1.7201870781677826,-1.3044746701464334
2023-12,106.7717011254341,106.68833785016186,108.33075434858965,108.22204536732016,-1.5590532231555443,-1.5337075171583052
2024-01,105.93481990008995,105.73913379527342,108.174543018786,108.22982085331634,-2.2397231186960482,-2.490687058042923
2024-02,107.67859121267959,106.97962348530912,108.97341531428144,108.87968856204336,-1.2948241016018471,-1.9000650767342364
2024-03,108.14675014269494,107.50110026452056,109.02279347675037,109.3281381900765,-0.8760433340554243,-1.827037925555942
2024-04,108.73058437188404,107.62597207841777,111.17893855524447,112.24679205173369,-2.4483541833604363,-4.620819973315918
2024-05,108.20531655536938,107.9707928623115,110.04813816498664,109.75227269169122,-1.8428216096172605,-1.7814798293797196
2024-06,109.53748641244339,109.65764123643709,110.28342580147235,110.89668954150353,-0.7459393890289618,-1.2390483050664471
2024-07,110.71015282700643,110.99236056477693,110.347816851324,110.09991738065115,0.36233597568242715,0.8924431841257814
2024-08,111.8981965375602,111.60526742978814,110.86187390172888,110.8422932046891,1.0363226358313113,0.7629742250990432
2024-09,110.2636549172155,110.21191043737764,108.12860717125659,108.6386593877881,2.1350477459589143,1.573251049589544
2024-10,110.99860627903347,111.50502278469303,112.05390076671746,110.87735905090825,-1.0552944876839945,0.6276637337847717
