period,beta,se,lo,hi
2024-01-01,0.0,0.0,0.0,0.0
2024-02-01,0.0021763293689014557,0.0022515138179725544,-0.002236637714324751,0.006589296452127662
2024-03-01,0.00026224345075749264,0.0034390600493495196,-0.0064783142459675655,0.007002801147482551
2024-04-01,-0.005328602461931661,0.008046426137001166,-0.021099597690453945,0.010442392766590623
2024-05-01,0.001656232256517908,0.0038752284602069286,-0.005939215525487672,0.009251680038523488
2024-06-01,0.003598276642889059,0.004314283960309225,-0.004857719919317022,0.01205427320509514
2024-07-01,0.006707432119838841,0.004480366359491158,-0.0020740859447638278,0.01548895018444151
2024-08-01,0.011117174184856783,0.004691306094899847,0.0019222142388530834,0.020312134130860485
2024-09-01,0.007281619644639942,0.00497659800999701,-0.002472512454954197,0.01703575174423408
2024-10-01,0.009056872679326491,0.007164664200439366,-0.004985869153534666,0.02309961451218765
2024-11-01,0.007784680966714662,0.005212339036219789,-0.002431503544276124,0.01800086547770545
2024-12-01,0.008334762478179419,0.006194276238248811,-0.0038060189487882506,0.020475543905147088
2025-01-01,0.010217391555392082,0.005006089556289955,0.0004054560250637707,0.020029327085720396
2025-02-01,0.012879808857834955,0.0052494913815303084,0.002590805750035551,0.02316881196563436
2025-03-01,0.018957615857338843,0.007150946625352796,0.004941760471647363,0.03297347124303032
2025-04-01,0.009838848781400306,0.007926789579451433,-0.0056976587943245015,0.025375356357125116
2025-05-01,0.01779853238760911,0.007789489847851011,0.002531132285821129,0.03306593248939709
2025-06-01,0.012961114801195633,0.00574202309040814,0.0017067495439956788,0.024215480058395588
2025-07-01,0.021880543421475107,0.007215061961117393,0.007739021977685017,0.0360220648652652
2025-08-01,0.019007479216552076,0.0066323299676270125,0.0060081124800031305,0.03200684595310102
2025-09-01,0.02003308774666703,0.007288722207961113,0.005747192219063247,0.03431898327427081
2025-10-01,0.018603593190599624,0.006561974876918831,0.005742122431838716,0.031465063949360536
2025-11-01,0.02537943460322817,0.008519334187415479,0.008681539595893833,0.042077329610562514
2025-12-01,0.024762280698380393,0.010039901106327472,0.005084074529978548,0.04444048686678224
2026-01-01,0.0224922796480408,0.00893643831754779,0.004976860545647131,0.040007698750434466
2026-02-01,0.024524629599680096,0.008321613047014504,0.008214268027531668,0.040834991171828525
2026-03-01,0.016908627258399197,0.009719082071973742,-0.0021407736026693366,0.03595802811946773
2026-04-01,0.02261310692449082,0.009120889836761919,0.004736162844437463,0.040490051004544184
2026-05-01,0.019846677225712837,0.009509517880271814,0.001208022180380082,0.03848533227104559
2026-06-01,0.025698687953311095,0.010704701317232763,0.004717473371534879,0.04667990253508731
2026-07-01,0.016361194745582265,0.008912523943953452,-0.0011073521845665,0.03382974167573103
